Original Description,Charge Class,Confidence Score,Matches
MAGNESIUM SULFATE 50 % SOLN,Pharmacy,0.9,MAGNESIUM SULFATE 2 GM/50ML SOLN
MIDAZOLAM 2 MG/2ML SOLN 2 ML VIAL,Pharmacy,0.94,MIDAZOLAM 5 MG/ML SOLN 1 ML VIAL
ELECTRONIC CROSSMATCH,Laboratory,0.93,HB ELECTRONIC CROSSMATCH C16
SUT SILK 4-0 CR/RB-1 18IN #C054D,Supply,0.72,SUT SILK 3-0 18IN MP BLK 108924
NYSTATIN 100000 UNIT/GM OINT 15 G TUBE,Pharmacy,0.98,NYSTATIN 100 000 UNITS/G OINT 15 G TUBE
CLINDAMYCIN 75 MG/5ML SOLR 100 ML BOTTLE,Pharmacy,0.8,VANCOMYCIN 5 MG/ML SOLN 1 000 ML
CHLOROTHIAZIDE 250 MG/5ML SUSP 237 ML BOTTLE,Pharmacy,1,CHLOROTHIAZIDE 250 MG/5 ML SUSP 237 ML BOTTLE
TRIGLYCERIDE,Laboratory,1,TRIGLYCERIDE
CALCIUM CHLORIDE 100 MG/ML SOLN,Pharmacy,0.91,CALCIUM CHLORIDE 20 MG/ML
ACETAZOLAMIDE 500 MG SOLR 1 EACH VIAL,Pharmacy,0.85,ACETAZOLAMIDE 25MG /1ML ORAL
W/COLOR FLOW MAPPING (SUB),Laboratory,0.66,PROLACTIN
CULTURE STOOL YERSINIA EA PLATE,Laboratory,0.76,CULTURE FNGI MOLD/YEAST PR
DOPPLER EXTREMITY UNILAT,Radiology,0.89,US DOPPLER EXTREMITY VEIN BILAT
PHY THER REEVAL LEVEL 1,PT / OT / Speech Therapy,0.77,PT RE EVAL
TUBE CLSD SUCTION NEONATAL 8FR,Supply,0.76,TUBE SUCTION YANKAUER
ACETAMINOPHEN 160 MG/5ML SUSP 5 ML CUP,Pharmacy,0.94,ACETAMINOPHEN 160 MG/5 ML SUSP
NS 1000ML,Diluent / Flush / Irrigant,1,NS 1000 ML
SLP SWALLOW THERAPY 30 MIN,PT / OT / Speech Therapy,0.8,ST TX SWALLOW/ORAL 30 MIN GN
HEPARIN 100 UNIT/ML SOLN,Diluent / Flush / Irrigant,1,HEPARIN 100 UNIT/ML SOLN
D5 NS 1000ML,Diluent / Flush / Irrigant,0.93,NS 1000 ML
METHYLPREDNISOLONE SODIUM SUCC 125 MG SOLR 1 EACH VIAL,Pharmacy,0.83,METHYLPREDNISOLONE (SOLUME
DEXTROSE 70 % SOLN,Pharmacy,0.96,DEXTROSE 50% SOLN
PUMP BLOOD CENTRIFUGAL REVOLUTION #050300000,Nursing Services,0.71,CAP BLOOD PUNCTURE
STERILE WATER TPN SOLN,Diluent / Flush / Irrigant,0.91,STERILE WATER SOLN
PRE-POOLED CRYO EA ADDTL UNIT,Capital Equipment,0.72,HC RADIOLOGY PORTABLE EQUIPMENT
POTASSIUM PHOSPHATE 3 MMOLE/ML SOLN,Pharmacy,0.92,POTASSIUM PHOSPHATE 3 MMOL/ML SOLN 15 ML VIAL
CHILDRENS MULTIVITAMIN CHEW 100 EACH BOTTLE,Pharmacy,0.75,PEDIATRIC MULTIVITAMIN SOLN
TRAY DRAINAGE SURESTEP BAG,Supply,0.77,TRAY DRESSING CHANGE EA
ONDANSETRON 4 MG/2ML SOLN 2 ML VIAL,Pharmacy,1,ONDANSETRON 4 MG/2 ML SOLN 2 ML VIAL
ALBUMIN HUMAN 5 % SOLN 250 ML VIAL,Pharmacy,0.89,ALBUMIN HUMAN 5% SOLN
"MVI, PEDIATRIC INJ",Pharmacy,0.87,MVI  PEDIATRIC INJ 10 ML EXTEMP
ACT BLEEDING TIME,Supply,0.76,TUBE FEEDING SET
MIDAZOLAM 5 MG/ML SOLN 1 ML EXTEMP,Pharmacy,0.89,MIDAZOLAM 5 MG/ML SOLN
"DRSG ANTIMICROBAL W/CHG 1""",Supply,1,DRSG ANTIMICROBAL W/CHG 1
RBC SED RATE,Laboratory,0.84,RBC SED RATE (AUTOMATED)
ALBUMIN HUMAN 25 % SOLN 100 ML VIAL,Pharmacy,0.89,ALBUMIN HUMAN 25 % SOLN
ACID FAST CULTURE,Laboratory,1,ACID FAST CULTURE
PAPAVERINE 30 MG/ML SOLN 2 ML EXTEMP,Pharmacy,0.89,PAPAVERINE 30 MG/ML SOLN 2 ML VIAL
CANNULA PERFUSION THIN-FLEX OD16 FR 90 D #TF016090,Supply,0.69,CANNULA AOR ROOT # 10
PERICARDIOCENTESIS-INITIAL,Pharmacy,0.74,PEDIATRIC TRACE MINERALS SOLN 10 ML VIAL
METHYLPREDNISOLONE SODIUM SUCC 1000 MG SOLR 1 EACH VIAL,Pharmacy,0.82,METHYLPREDNISOLONE (SOLUME
AEROSOL TREATMENT NON-PRESSURIZED,Respiratory Therapy,0.83,AEROSOL TREATMENT SUBSEQUENT
D5 1/4NS POT CHLORIDE 20MEQ 1L,Diluent / Flush / Irrigant,0.78,SOD CHLORIDE
WND CARE NON-SEL DEBRID LEV 1,Diluent / Flush / Irrigant,0.7,NS
TRANSFERRIN,Laboratory,0.9,TRANSFERRIN SERUM
DERMABOND#DHV12,Supply,0.81,DERMABOND SKIN ADHESIVE
PLEUR-EVAC #S110008LF,Pharmacy,0.71,LR UP TO 1000 ML
FUROSEMIDE 10 MG/ML SOLN 2 ML AMPULE,Pharmacy,0.9,FUROSEMIDE 10 MG/ML SOLN
OXYCODONE 5 MG/5ML SOLN 5 ML SYRINGE,Pharmacy,0.81,OXYCODONE 5 MG/5ML OR SOL UD
SPIRONOLACTONE 10 MG/ML LIQD 240 ML BOTTLE,Pharmacy,0.82,SPIRONOLACTONE 5 MG/ML SUSP 100 ML BOTTLE
CHEST PHYSIO THERAPY STANDARD,Respiratory Therapy,0.9,CHEST PHYSIO-THERAPY
CALCIUM GLUCONATE 10 % SOLN,Pharmacy,0.91,CALCIUM GLUCONATE 10 % SOLN 10 ML VIAL
VIRAL RESP PANEL PCR-EA ADDTL,Respiratory Therapy,0.74,BIPAP/CPAP VENT EA ADDL DAY
BURN CULTURE,Laboratory,0.76,BUN
ROCURONIUM 50 MG/5ML SOLN 5 ML VIAL,Pharmacy,0.9,ROCURONIUM 10 MG/ML SOLN 5 ML VIAL
ANEST SUPPLIES PER ADDTLN MIN,OR / Anesthesia / Recovery Room,0.72,ANESTHESIA
ANEST SUP/EQUIP 0-30 MIN,OR / Anesthesia / Recovery Room,0.76,ANES FIRST 30 MIN
DRAIN 19FR BLAKE #072230,Supply,0.68,DRAIN WND RND FL HBLS 19X 0722
RACEPINEPHRINE 2.25 % NEBU 1 EACH PLAS CONT,Pharmacy,0.69,CYCLOPENTOLATE-PHENYLEPHRINE 0.2-1 % SOLN 2 ML BOTTLE
HEPARIN (PORCINE) 2-0.9 UNIT/ML-% SOLN 500 ML FLEX CONT,Diluent / Flush / Irrigant,0.89,HEPARIN (PORCINE) 100 UNIT/ML SOLN 250 ML EXTEMP
FAT EMULSION 20 % EMUL 250 ML PLAS CONT,Pharmacy,0.9,FAT EMULSION 20% EMUL 250 ML BAG
SPECTRAL DOPPLER ANALYSIS COMPLT,Cardiology,0.76,HC SPECTRAL DOPPLER ECHO LIMITED
CATH.-FOLEY TEMP PROBE 8FR,Supply,0.73,CATH FOL SRSTEP ACUTE 16FR
MINERAL OIL OIL 10 ML CUP,Diluent / Flush / Irrigant,0.71,NORMAL SALINE 10ML FLU
HEPARIN 1000 UNIT/ML SOLN 10 ML VIAL,Pharmacy,1,HEPARIN 1 000 UNIT/ML SOLN 10 ML VIAL
EPINEPHRINE 1 MG/ML SOLN,Pharmacy,1,EPINEPHRINE 1 MG/ML SOLN
CARDIACATH PACK,Monitoring,0.74,CARDIAC MONITOR PER DAY
GAIT TRAINING 15MIN,PT / OT / Speech Therapy,1,GAIT TRAINING-15 MIN
CALCIUM CHLORIDE 10 % SOLN 10 ML SYRINGE,Pharmacy,0.86,CALCIUM CHLORIDE SYRG
POTASSIUM PHOSPHATE 3 MMOLE/ML SOLN 50 ML EXTEMP,Pharmacy,0.89,POTASSIUM PHOSPHATE 3 MMOL/ML SOLN 15 ML VIAL
PLEUR-EVAC DRY VALVE SAHARA,Supply,0.7,PLEUR EVAC INFANT/ADULT
CIPROFLOXACIN 2 MG/ML SOLN 100 ML EXTEMP,Pharmacy,0.82,CIPROFLOXACIN 2 MG/ML PGBK
ST MOTION FLUORO SWALLOW EVAL,PT / OT / Speech Therapy,0.69,ST EVAL SWALLOW INTERM
CULTURE FUNGUS,Laboratory,0.9,CULTURE FUNGAL
POTASSIUM ACETATE 2 MEQ/ML SOLN,Pharmacy,0.95,POTASSIUM ACETATE 2 MEQ/ML
URINE METER,Monitoring,0.76,GLUCOSE-METER
MICONAZOLE 2 % CREA 28 G TUBE,Pharmacy,0.77,HB LIDOCAINE 4% CREAM 5GM TUBE
LACTOBACILLUS RHAMNOSUS (GG) CAPS,Pharmacy,0.94,LACTOBACILLUS RHAMNOSUS (G
CANNULA PERFUSION DLP PEDIATRIC L9 IN OD14 FR 1/4,Laboratory,0.7,HC RENAL FUNCTION PANEL
SPECTRAL DOPPLER ANALYSIS LTD F/U,Cardiology,0.74,HC SPECTRAL DOPPLER ECHO LIMITED
ULTRASOUND PROBE,Laboratory,0.71,CULTURE BLOOD
OT SUPPLIES,Supply,0.88,ECHO SUPPLIES
VENIPUNCTURE ROUTINE,Nursing Services,1,VENIPUNCTURE  ROUTINE
CREAM EXTRA PROTECT 3.25 OZ TB,Laboratory,0.71,C REACTIVE PROTEIN (CRP)
FIBRINOGEN ACTIVITY,Laboratory,1,FIBRINOGEN ACTIVITY
CULTURE ANAEROBES,Laboratory,0.88,HC CULTURE ANAEROBIC
ALTER.LEG PESSURE CALF GARMENT #MS ALP1A,Procedure,0.7,EEG
GADODIAMIDE 287 MG/ML SOLN 20 ML VIAL,Pharmacy,0.81,LORAZEPAM 2 MG/ML SOLN 10 ML VIAL
LORAZEPAM 2 MG/ML SOLN 1 ML CRTRDG-NDL,Pharmacy,0.87,LORAZEPAM 2 MG/ML SOLN
SKIN PROTECTANT CREA 454 G JAR,Supply,0.73,KIT ET
ANTIBODY SCRN-GEL,Laboratory,0.91,ANTIBODY SCR
ALBUMIN HUMAN 25 % SOLN 50 ML VIAL,Pharmacy,0.9,ALBUMIN HUMAN 25 % SOLN
MUPIROCIN 2 % OINT 22 G TUBE,Pharmacy,0.92,MUPIROCIN OINT 22GM TUBE
D5 1/2NS POT CHLORIDE 20MEQ 1L,Diluent / Flush / Irrigant,0.78,SOD CHLORIDE
MILRINONE 1 MG/ML SOLN,Pharmacy,0.94,MILRINONE 1 MG/ML SOLN 20 ML
SUT SS MONOFIL WIRE V-37 18IN MS/4 #M660G,Pharmacy,0.66,ISOTRETINOIN (
D5 1/2NS 1000ML,Diluent / Flush / Irrigant,0.86,D5W 1/2NS 1000ML/20MEQ KCL
SMEAR FLUORESCENT/ACID STAIN,Laboratory,0.99,SMEAR FLUORESCENT/ACID STAI
ALBUMIN-BLOOD,Laboratory,0.86,CALCIUM BLOOD
DRESSING-ROLL EX-U-DRY,Supply,0.77,DRESSING FLEXINET
LACTATE (POINT OF CARE),Monitoring,0.84,LACTATE  POCT
BACITRACIN 500 UNIT/GM OINT 28.35 G TUBE,Pharmacy,0.91,BACITRACIN 500 UNIT/GRAM OINT 14 G TUBE
SICKLE CELL SCREEN,Nursing Services,0.69,SPECIMEN COLLECTION FEE
MIC SUSCEPTIBILITY CHG,Room and Board,0.73,MICU
LEVEL IV SURG PATH G & M EXAM,Laboratory,0.86,LEVEL IV - SURG PATH (GROS
D5 1/2NS POT CHLORIDE 10MEQ 1L,Diluent / Flush / Irrigant,0.78,SOD CHLORIDE
ECHO TRANSESOPH CONGEN IMG&RPT,Cardiology,0.75,ECHO TRANSTHORACI
PIPERACILLIN-TAZOBACTAM 3-0.375 G SOLR,Pharmacy,0.9,PIPERACILLIN-TAZOBACTAM 3.375 GM/50ML SOLN
LD (LACTIC DEHYDROGENASE),Laboratory,0.82,LACTIC DEHYDROGENASE FLUI
OXYCODONE 5 MG/5ML SOLN 5 ML CUP,Pharmacy,0.88,HB OXYCODONE 5MG/5ML CUP
ERYTHROMYCIN 400 MG/5ML SUSR,Pharmacy,0.85,ERYTHROMYCIN ES SUSP 40MG/1ML
GENTAMICIN 40 MG/ML SOLN,Pharmacy,1,GENTAMICIN 40 MG/ML SOLN
ENTEROVIRUS CULTURE,Nursing Services,0.76,ROUTINE VENIPUNCTURE
RECOVERY ROOM 0.5 HRS,OR / Anesthesia / Recovery Room,0.88,RECOVERY ROOM 1ST HR
METHADONE 10 MG/ML SOLN 20 ML EXTEMP,Pharmacy,0.89,METHADONE 10 MG/ML SOLN
ECHO TRANSTHORACIC W/DOP COMPLETE,Cardiology,0.87,ECHO TRANSTHORACIC COMP
5F 20CM PERICARD TRAY,Monitoring,0.71,CARDIAC MONITOR PER DAY
PIPERACILLIN-TAZOBACTAM 36-4.5 G SOLR,Pharmacy,0.92,PIPERACILLIN-TAZOBACTAM 4.
METOCLOPRAMIDE 5 MG/ML SOLN 2 ML EXTEMP,Pharmacy,0.91,METOCLOPRAMIDE 5 MG/ML SOLN
BULB RESERVOIR 100ML (SMALL) #0070740,Supply,0.77,RESVR DRN BULB EVC 100ML 00707
OCC THER EVAL LEVEL I,PT / OT / Speech Therapy,0.73,OT EVAL VISIT
ANTITHROMBIN III 1750 UNITS SOLR,Plan Benefit,0.89,ANTITHROMBIN III 1750 UNITS SOLR 1 INT'L UNITS VIAL
ABO/RH RESOLUTION,Respiratory Therapy,0.75,AEROSOL TX
FENTANYL 0.05 MG/ML SOLN 20 ML EXTEMP,Pharmacy,0.88,FENTANYL 0.05 MG/ML SOLN 2 ML VIAL
CTA CHEST W & W/O CONTRAST,Radiology,0.93,CTA  CHEST W/ CONTRAST
DUODERM SIGNAL 4.5X7.5 OVAL,Plan Benefit,0.69,DORNASE ALPHA 2.5ML
INJECTION THER/PROP/DIAG IV PUSH,Supply,0.74,INJECTION CAP
GALLIUM CITRATE,Pharmacy,0.77,MAGNESIUM CITRATE LIQ
XRAY HUMERUS MIN 2 VIEWS,Radiology,0.74,XR PELVIS 1 OR 2 VIEWS
OR LEVEL 3 - EA ADDL MINUTE,OR / Anesthesia / Recovery Room,0.92,OR LEVEL 3 ADD'L 15 MINUTES
UA W/MICRO AUTOMATED,Laboratory,0.89,UA W MICRO AUTO
FRESH FROZ PLASMA,Blood Products,0.87,FRESH FRZ PLASMA SD FRZ W/
ST EVAL SPEECH SOUND LANG COMPREHEN,Supply,0.7,HC PRESSURE MONITOR CHANGE
PEDIATRIC TRACE MINERALS SOLN,Pharmacy,0.92,PEDIATRIC TRACE MINERALS SOLN 10 ML VIAL
MICROINTRODUCER SAFETY 3.5 F,Supply,0.75,MICROBORE Y-SET
SLP THERAPY 30 MIN,PT / OT / Speech Therapy,0.73,HC PT EVAL 0-15 MIN
HEPARIN (PORCINE) 100 UNIT/ML SOLN,Diluent / Flush / Irrigant,1,HEPARIN (PORCINE) 100 UNIT/ML SOLN
NS 100ML,Diluent / Flush / Irrigant,1,NS 100ML
MIDAZOLAM 5 MG/5ML SOLN 5 ML VIAL,Pharmacy,0.96,MIDAZOLAM 5 MG/ML SOLN 1 ML VIAL
IBUPROFEN 200 MG/10ML SUSP 10 ML CUP,Pharmacy,0.85,IBUPROFEN 100 MG/5 ML SUSP
ANTI-THROMBIN III (ANTIGEN),Plan Benefit,0.89,ANTITHROMBIN III 1U NE
NS 500ML,Diluent / Flush / Irrigant,0.95,NS 50 ML
CATH.KIT-PED 8FR,Supply,0.73,65 CATH KT PICC DEL W/PASV 5FR
MAGNESIUM SULFATE 50 % SOLN 50 ML EXTEMP,Pharmacy,0.87,MAGNESIUM SULFATE 500 MG/ML SOLN
SLP SWALLOW THERAPY 15 MIN,PT / OT / Speech Therapy,0.8,ST TX SWALLOW/ORAL 15 MIN GN
EEG AWAKE AND SLEEP,Procedure,0.89,EEG AWAKE AND ASLEEP 20-40 MIN
PHENYLEPHRINE 10 MG/ML SOLN 1 ML VIAL,Pharmacy,1,PHENYLEPHRINE 10 MG/ML SOLN 1 ML VIAL
OR LEVEL 4 - EA ADDL MINUTE,OR / Anesthesia / Recovery Room,0.93,OR LEVEL 4 ADD'L 15 MINUTE
CLOSED SUCTION PED 10FR,Room and Board,0.71,OBSERVATION PER HR
FAMOTIDINE 20-0.9 MG/50ML-% SOLN,Pharmacy,0.9,FAMOTIDINE 10 MG/ML SOLN
EPINEPHRINE 1 MG/ML SOLN 30 ML VIAL,Pharmacy,1,EPINEPHRINE 1 MG/ML SOLN 30 ML VIAL
DEXMEDETOMIDINE 200 MCG/2ML SOLN 2 ML EXTEMP,Pharmacy,0.92,DEXMEDETOMIDINE 200MCG/2 ML SOLN
CEFEPIME 2 G SOLR 1 EACH VIAL,Pharmacy,0.78,CEFTAZIDIME 2 G SOLR 1 EACH VIAL
SODIUM ACETATE 2 MEQ/ML SOLN,Pharmacy,0.97,SODIUM ACETATE 2 MEQ/ML SO
ALTEPLASE 1 MG/ML SOLN 1 EACH VIAL,Pharmacy,0.86,ALTEPLASE 1 MG/ML SOLR
FIBRINOGEN COAGULOPATHY,Laboratory,0.82,FIBRINOGEN ASSAY
SWALLOW FUNCTION WA/IDEO,Radiology,0.77,27423000 - XR SWALLOW FUNC W/CINE-VIDEO
ALBUTEROL 108 (90 BASE) MCG/ACT AERS 8 G INHALER,Pharmacy,0.75,ALBUTEROL 90 MCG/PUFF HFAA 8 G CANISTER
PLT PHERESIS LEUKO DPLT IRR,Blood Products,0.75,PLTS LEUKO RED EA UNIT (PL
RADIONUC LOCAL INFLAM WHOLE,Plan Benefit,0.7,DORN ALFA INH
EPINEPHRINE 0.1 MG/ML SOLN,Pharmacy,0.97,EPINEPHRINE 1 MG/ML SOLN
D5 NS POT CHLORIDE 20MEQ 1L,Diluent / Flush / Irrigant,0.8,SOD CHLORIDE
COLLAGENASE 250 UNIT/GM OINT 30 G TUBE,Pharmacy,1,COLLAGENASE 250 UNIT/GM OINT 30 G TUBE
SUT VICRYL CTD 2-0 18IN UNC CR/CT-1 #J839D,Supply,0.65,SUT VCL 1 CT UD BR OS6
EEG W VIDEO EACH 24 HOURS,Cardiology,0.81,EEG VIDEO PER 24
PRE-POOLED CRYO FIRST UNIT,Monitoring,0.72,PULSE OXIMETRY CONTINUOUS
CELL SAVER 2 LINE,OR / Anesthesia / Recovery Room,0.73,OR LEVEL 2 ADD'L 15 MINUTES
BACITRACIN 500 UNIT/GM OINT 454 G JAR,Pharmacy,0.87,BACITRACIN 500 UNIT/GRAM OINT 14 G TUBE
PLATELET AGGREGATN IN VITRO EA AG,Blood Products,0.72,PLATELET APH  LR  UNIT
RBC LEUKO DEPLETE SPLIT,Blood Products,0.76,RBC LEUKOCYTES REDUCED EA UNIT
CANNULA PERFUSION THIN-FLEX PEDIATRIC L13 IN OD14,Laboratory,0.71,HC CULT AEROBIC DEFIN ID EA ISOL
RECOVERY ROOM PER ADDTLN MIN,OR / Anesthesia / Recovery Room,0.88,RECOVERY ROOM ADD'L 30MIN
SUT PROLENE 5-0 RB-2 RB-2 BLUE MONO #8554H,Supply,0.7,SUTURE 5-0 PROLENE M8725
WND CARE NON-SEL DEBRID LEV 2,Diluent / Flush / Irrigant,0.7,NS
RBC LEUKO DEPLETE IRRAD SPLIT,Blood Products,0.77,RBC LEUKOREDUCED
PAPAVERINE 30 MG/ML SOLN,Pharmacy,0.92,PAPAVERINE 30 MG/ML SOLN 2 ML VIAL
METOLAZONE 1 MG/ML LIQD 120 ML BOTTLE,Pharmacy,0.76,METHADONE 1 MG/ML SOLN 500 ML BOTTLE
DEXAMETHASONE 4 MG/ML SOLN 1 ML VIAL,Pharmacy,0.92,DEXAMETHASONE 4 MG/ML SOLN
"AMINO ACIDS (PROSOL) 20 % SOLN 2,000 ML PLAS CONT",Pharmacy,0.82,AMINO ACIDS (TROPHAMINE) 10 % SOLN 500 ML GLASS CONT
HELICOBACTER PYLORI STOOL AG,Monitoring,0.72,HEMATOCRIT POC
OR LEVEL 3 - 1ST 60 MINUTES,OR / Anesthesia / Recovery Room,0.87,OR LEVEL 2 FIRST 30 MINUTES
4F MICRO INTRO KIT,Laboratory,0.69,BILIRUBIN TOT
PHYTONADIONE 10 MG/ML SOLN 1 ML EXTEMP,Pharmacy,0.93,PHYTONADIONE 10 MG/ML SOLN 1 ML AMPUL
PLT PHERESIS LEUKO DPLT SPLIT,Blood Products,0.73,PLTS LEUKO RED EA UNIT (PL
GAMMA GT,Laboratory,0.74,GAMMAGLOBULIN IGG
TECHNETIUM TC 99M MEDRONATE KIT,Room and Board,0.7,H CCU INTERMEDIATE
WOUND DRESSING (EX-U-DRY),Monitoring,0.72,OXYGEN READINGS DLY
SODIUM BICARBONATE 8.4 % SOLN 50 ML VIAL,Pharmacy,0.87,SODIUM BICARBONATE 5.4 % SOLN
CEFAZOLIN 1 G SOLR 1 EACH VIAL,Pharmacy,0.85,CEFAZOLIN 100 MG/ML SOLR 1 EACH VIAL
ST EVAL SWALLOW/ORAL FUNCTION,PT / OT / Speech Therapy,0.83,ST EVAL SWALLOW INTERM
SENSOR SHUNT HEPARIN TREATED GDI DISP #CDI510H,Supply,0.7,SHEATH INTRO PINNACLE PERIPH GW6FRX10
FIBRINOLYSIS,Laboratory,0.8,FIBRINOGEN ASSAY
SUT MONOCRYL 3-0 27IN PS-2 UNDYED MONO #Y427H,Respiratory Therapy,0.69,O2
VIRAL RESPIRATORY PANEL PCR,Laboratory,0.8,IADNA RESPIRATRY PROBE & R
ALBUMIN HUMAN 5 % SOLN 50 ML VIAL,Pharmacy,0.9,ALBUMIN HUMAN 5% SOLN
HANDPIECE PULS LAVAG VERSAJT II 45D 8MM #66800042,Supply,0.74,HANDPIECE LIGASURE IMPACT
GENTAMICIN - CSF,Pharmacy,0.8,GENTAMICIN 4 MG/ML SOLN
HEPARIN 1000 UNIT/ML SOLN 30 ML VIAL,Pharmacy,1,HEPARIN 1 000 UNIT/ML SOLN 30 ML VIAL
SPLITTING BLOOD PRODUCTS EA UNIT,Blood Products,0.85,SPLITTING BLOOD PRODUCT EA TRANSFUSE ALIQUOT RBC
CANNULA PERFUSION DLP PEDIATRIC L2.5 IN OD4 FR #10,Laboratory,0.7,HC RENAL FUNCTION PANEL
CTA ABD&PELV W/O&W/DYE,Radiology,0.76,CT ABD & PELVIS W/O CONTRA
XRAY FOREARM 2 VIEWS,Radiology,0.92,XR FOREARM 2 VIEWS
ATROPINE 0.1 MG/ML SOLN 10 ML SYRINGE,Pharmacy,0.86,ATROPINE 1 MG/ML SOLN
2F BASIC PICC TRAY SNGL LUMEN,Nursing Services,0.7,ACCESS CENTRAL LINE
DRESSING WND CONFORMANT 24X36,Supply,0.74,DRESSING  DRAIN
PATCH CV SUPPLE PERI-GUARD 4CMX4CM #PC0404SNBIO,Procedure,0.69,EEG
INJ THER/PROP/DX NEW DRUG ADD-ON,Nursing Services,0.68,INJ TX OR DX INTRAVENOUS
HEMOSTAT SURGICEL ABSORB 4X8,Supply,0.74,HEMOSTAT STRAIGHT_W
SUT MONOCRYL 4-0 18IN PC-3 MONOFL UNDYED #Y845G,Supply,0.69,SUT POLYSORB 0 UNDYED 36IN GS- CL954 - CSC
VANCOMYCIN 1000 MG SOLR,Pharmacy,0.9,VANCOMYCIN 1 000 MG SOLR 1 EACH VIAL
US ABDOMEN COMPLETE,Radiology,0.87,U/S ABDOMINAL  COMPLETE
IRON SERUM,Laboratory,1,*IRON SERUM
ACETYLCYSTEINE 200 MG/ML SOLN,Pharmacy,0.93,ACETYLCYSTEINE 200MG/ML 4ML
SUT PLAIN GUT 5-0 FAST ABSBG PC-1 18IN #19150,Supply,0.69,SUT SOFSILK 2-0 PRE-CUT 12X18IN S195-CSC
GLUCOSE - CSF,Laboratory,0.94,HB GLUCOSE CSF
OR LEVEL 5 - 1ST 60 MINUTES,OR / Anesthesia / Recovery Room,0.85,OR LEVEL 5 FIRST 30 MINUTE
ACETAMINOPHEN 10 MG/ML SOLN,Pharmacy,0.99,ACETAMINOPHEN 10 MG/ML SOL
EPINEPHRINE 0.1 MG/ML SOSY 10 ML SYRINGE,Pharmacy,0.89,EPINEPHRINE 0.1 MG/ML SOSY
DRAIN 7FR FLAT #SU1301320,Pharmacy,0.67,LACTATED RINGERS 1000
SUT VICRYL CTD 3-0 27IN UNDYED BRD SH #J416H,Supply,0.67,HB SUT VICRYL 4-0 RB-1 PO VCP714D
NITROPRUSSIDE 25 MG/ML SOLN,Pharmacy,0.83,IRON SUCROSE 20 MG/ML SOLN
ACETAMINOPHEN 162.5 MG TABS,Pharmacy,0.94,ACETAMINOPHEN 325 MG TABS
ER LEVEL 5,Room and Board,0.92,ER LEVEL V
INFUSION IV HYDRATE EACH ADD HR,Nursing Services,0.84,IV HYDRAT EA ADD HR
ECHO LTD,Cardiology,0.78,DOPP ECHO LTD
SLP SWALLOW THERAPY 45 MIN,PT / OT / Speech Therapy,0.8,ST TX SWALLOW/ORAL 45 MIN GN
BLOOD X-MATCH (IS),Supply,0.8,BLOOD GAS KIT
OR LEVEL 4 - 1ST 60 MINUTES,OR / Anesthesia / Recovery Room,0.87,OR LEVEL 4 FIRST 30 MINUTES
TRAY-CATH.RADIAL ART.3FR 5CM,Supply,0.71,TRAY CATH URET PLAS 16FR
DUPL ABD/PELV/GENITOREC LIM,Radiology,0.69,U/S ABD VISERAL DOP/PELVIC
LR 1000ML,Pharmacy,0.89,LR UP TO 1000 ML
SKIN SHEETS 7INX18IN #3108,Supply,0.66,SENSOR DEPTH BIS 186-0100
WIREGUIDE,Supply,0.77,GUIDEWIRE STIFF
NDL PQE-4.0X17GA,Supply,0.64,NDL PRT HUBER SAF 20GX1IN WNG
MAGNESIUM SULFATE 50 % SOLN 10 ML VIAL,Pharmacy,0.86,MAGNESIUM SULFATE 500 MG/ML SOLN
KETOROLAC 30 MG/ML SOLN 1 ML VIAL,Pharmacy,0.91,KETOROLAC 30 MG/ML SOLN
SURGICEL FIBULAR 2 IN X 1 IN #1961,Supply,0.74,SURGICELE 2X3
OXYGENATOR CAPIOX BABY W/ HDSHELL RESVR#1CX*FX05RW,Respiratory Therapy,0.71,OXYGEN
NACL 4 MEQ/ML SOLN,Pharmacy,0.88,NACL 4 MEQ/ML SOLN 30 ML VIAL
ACETAMINOPHEN 325 MG SUPP,Pharmacy,0.94,ACETAMINOPHEN 120 MG SUPP
CATHETER KIT FEMALE,Supply,0.82,CATHETER SOFT ONEIL
ALBUMIN FLUID QUANT EA SPECIMEN,Capital Equipment,0.7,HB DUAL LINE INFUSION PUMP
KETAMINE 50 MG/5 ML SOLN 5 ML SYRINGE,Pharmacy,0.87,KETAMINE 50 MG/ML SOLN 10 ML
NAIL IM L30 CM PURPLE OD1.5 MM #475915,Supply,0.68,APPLIER LIG MED 11.25 MCM20
PREDNISOLONE 15 MG/5ML SOLN 237 ML BOTTLE,Pharmacy,1,PREDNISOLONE 15 MG/5 ML SOLN 237 ML BOTTLE
CT HEAD W/O CONTRAST,Radiology,0.98,CT HEAD WO CONTRAST
0.021 X145CM J WIRE,Implant,0.65,7.5 X 40 MAS SCREW
MRA HEAD W/O CONTRAST,Radiology,0.8,CT HEAD/BRAIN W/O CONTRAST
MRI BRAIN W/O & W CONTRAST,Radiology,0.97,MRI BRAIN W/O CONTRAST
BONE/JOINT IMAGE-WHOLE BODY,Laboratory,0.68,HB CREATININE BLOOD
MANNITOL 25 % SOLN 50 ML VIAL,Pharmacy,0.81,MANNITOL 50ML
ROM EXT OR TRUNK,Radiology,0.69,US RETROPERITONEUM
SPUTUM CULTURE,Laboratory,0.83,SPUTUM CULT. & SENS.
