Original Description,Charge Class,Confidence Score,Matches,Counts
CALCIUM CHLORIDE 100 MG/ML (10 %) SYRINGE,"OR / Anesthesia / Recovery Room, Pharmacy",,"CALCIUM CHLORIDE 20 MG/ML, CALCIUM CHLORIDE SYRG, CALCIUM CHLOR 10% 1GM 10ML, CALCIUM CHLORIDE 10%, CALCIUM CHLORIDE 100 MG/ML 10 % INTRAVENOUS SOLUTION",5
HCHG TUBE SALEM SUMP 18FR 48IN (AKA 79068),Supply,0.8,TUBE SALEM SUMP 18FR DISP,1
MIDAZOLAM 1 MG/ML INJECTION SOLUTION,"OR / Anesthesia / Recovery Room, Pharmacy",,"MIDAZOLAM 1 MG/ML SOLN, MIDAZOLAM 10 MG/2ML SOLN, MIDAZOLAM 2 MG/2 ML INJECTION, MIDAZOLAM 2 MG/2ML SOLN, MIDAZOLAM 5 MG/5ML SOLN, MIDAZOLAM 5 MG/ML SOLN, MIDAZOLAM 5MG/5ML INJ, MIDAZOLAM 5 MG/ML INJECTION SOLUTION, MIDAZOLAM 2MG/2ML INJ, LORAZEPAM 2 MG/ML INJECTION SOLUTION, MIDAZOLAM PF 5 MG/ML INJECTION SOLUTION",11
CONNECT NOMOLINE W/LUER LOC,,,,0
DRSG WOUND BIOPATCH W CHG 1IN 4MM CNTR 4150 - C,,,,0
HEPARIN 1000 UNITS INJ,"OR / Anesthesia / Recovery Room, Diluent / Flush / Irrigant, Pharmacy",,"HEPARIN 10 UNIT/ML INJ, HEPARIN 10 UNIT/ML SOLN, HEPARIN 10 UNIT/ML SOLN 3, HEPARIN 10 UNITS/ML INJ (10ML), HEPARIN 10 UNITS/ML SOLN 3, HEPARIN 100 U INJ, HEPARIN 100 U ML IN, HEPARIN 100 UNIT/ML INJ (10ML), HEPARIN 100 UNIT/ML SOLN, HEPARIN 100 UNITS/ML INJ, HEPARIN 12.5 UNITS, HEPARIN FLUSH 100UNITS/ML INJ, HEPARIN INF 25000UN, HEPARIN 1 000 UNIT/ML SOLN, HEPARIN 1 000 UNIT/ML SOLN 10 ML VIAL, HEPARIN 1 000 UNIT/ML SOLN 2 ML VIAL, HEPARIN 1 000 UNIT/ML SOLN 30 ML VIAL, HEPARIN 1000 UNIT/ML INJ 10ML, HEPARIN 5000 UNIT/ML SOLN, HEPARIN 1000 UNIT (25, HEPARIN 1000 UNIT (50, HEPARIN 2000 UNIT/2ML, HEPARIN 5000UNITS/0.5ML INJ SY, HEPARIN 10000 UNTS/10ML V, HEPARIN PER 1000 UNITS PREMIX, HEPARIN 100 UNIT/ML SYRG, HEPARIN 5 000UNITS/ML INJ, HEPARIN SODIUM 1 000 UNITS INJ, HEPARIN PORCINE 1000 UNITS, HEPARIN 2 UNIT/ML INJ",30
FUROSEMIDE 40 MG TABLET,Pharmacy,0.86,"FUROSEMIDE INJ 40MG 4ML, FUROSEMIDE 40MG TABS, FUROSEMIDE 100MG/1, FUROSEMIDE 80 MG TABS, TORSEMIDE 100 MG TABS, TORSEMIDE 20 MG TABS, FUROSEMIDE 20 MG INJ, FUROSEMIDE 20 MG TAB, FUROSEMIDE 40 MG TAB",9
LT HEART ARTERY/VENTRICLE ANGIO,,,,0
LISINOPRIL 20 MG TABLET,Pharmacy,0.8816666666666667,"LISINOPRL20MGTB+, LISINOPRIL 5 MG TAB, LISINOPRIL 2.5MG/TAB UDT, LISINOPRIL 40 MG TABS, LISINOPRIL 10MG UD, LISINOPRIL 5MG TAB",6
TX GASTRIC INTUB ASP LAVAGE,,,,0
TUBE SUCT YANKAUER BULB W/O TR,Supply,0.81,TUBE SUCTION YANKAUER,1
SUT SURGIPRO 7-0 CV-1 5X30 VP713MX,,,,0
HNDL ORAL CARE ON OFF,,,,0
DRSG GZE 8X4IN 12-PLY ST REGARD 421-10 - CSC,,,,0
SUT SOFSILK 2-0 PRE-CUT 12X18IN S195 - CSC,Supply,1.0,SUT SOFSILK 2-0 PRE-CUT 12X18IN S195-CSC,1
METOLAZONE 5 MG TABLET,"OR / Anesthesia / Recovery Room, Pharmacy",,"METRONIDAZOLE 500 MG PO TABS, METRONIDAZOLE 500MG TABLET, METRONIDAZOLE 500 MG TAB, RX METRONIDAZOLE 500MG TB, 13729002 - METOLAZONE TABLET 10MG, 13729012 - METOLAZONE TABLET 2.5MG, 13729022 - METOLAZONE TABLET 5MG, METRONIDAZOLE 500 MG TABLET, METHADONE 5 MG TABLET, QUETIAPINE 25 MG TABLET",10
RH (D) BLOOD TYPING,Laboratory,0.8411111111111113,"HC BLOOD TYPING ABO, HC BLOOD TYPING RH D, HC BLOOD TYPING RH(D), HC ABO TYPING, HC BLOOD TYPING RH (D), RH (D) BLOOD TYPING, ABO BLOOD TYPING, ABO TYPING, RH TYPING",9
TAPE SOFT CLOTH 4 IN X 10YD (18 SQ IN = 80),,,,0
DEXTROSE 5% SOLN 100 ML FLEX CONT,Diluent / Flush / Irrigant,0.8514285714285715,"DEXTROSE 5 % SOLN, DEXTROSE 5 % SOLN 50 ML FLEX CONT, DEXTROSE 5% 100ML, DEXTROSE 5% 5 % SOLN, DEXTROSE 5% SOLN, DEXTROSE 5% SOLN 50 ML FLEX CONT, DEXTROSE 5% SOLP, DEXTROSE 5 % SOLN 250 ML FLEX CONT, DEXTROSE 5% SOLP 1 000 ML, DEXTROSE 5% SOLP 1 000 ML BAG, DEXTROSE 5% SOLP 100 ML BA, DEXTROSE 5% SOLP 100 ML BAG, DEXTROSE 5% SOLP 500 ML BA, DEXTROSE 5% SOLP 500 ML BAG",14
HB BLOOD GASES,"Laboratory, Monitoring, Supply",,"HBOL BLOOD GASES W/O2 SATU, BLOOD GAS- VENOUS, BLOOD GASES POC, BLOOD GAS KIT, KIT BLOOD GAS, HB BLOOD GASES, HB POC BLOOD GASES",7
HYDROMORPHONE 1 MG/ML SOLN,"OR / Anesthesia / Recovery Room, Pharmacy",,"HYDROMORPHONE 0.2-0.9 MG/ML-% SOLN, HYDROMORPHONE 1 MG/1 ML INJ, HYDROMORPHONE 1 MG/ML SOLN, HYDROMORPHONE 2 MG/ML SOLN, HYDROMORPHONE 2 MG/ML SOLN 1 ML, HYDROMORPHONE 2 MG/ML SOLN 1 ML VIAL, HYDROMORPHONE 2 MG/ML SOLN 20 ML VIAL, HYROMORPHONE 1MG/ML INJ 50ML P, HYDROMORPHONE PF 2 MG/ML SOLN, HYDROMORPHONE 1MG/ML INJ., HYDROMORPHONE 1MG/ML 1ML, HYDROMORPHONE 2 MG INJ, HYDROMORPHONE UP TO 4 MG INJ, HYDROMORPHONE 2 MG/ML INJECTION SOLUTION",14
ALPRAZOLAM 0.25 MG TABS,,,,0
HB PTT ACTIVATED,Laboratory,0.83,PTT ACTIVA - STAT,1
HB FEED/SWALLOW TREATMENT SLP,,,,0
HB CROSSMATCH IMMEDIATE SPIN,Laboratory,0.92,CROSSMATCH IMMEDIATE SPIN,1
HB PREALBUMIN,Laboratory,0.855,"HC PREALBUMIN, PREALBUMIN, 63739101 - PREALBUMIN, PRE-ALBUMIN",4
HB MINI NEB SUBSEQ,,,,0
POTASSIUM CHLORIDE 10 MEQ/100ML SOLN,"OR / Anesthesia / Recovery Room, Pharmacy",,"POTASSIUM CHLOR 10 MEQ/50 ML I, POTASSIUM CHLORIDE 10 % 1.33 MEQ/ML LIQD, POTASSIUM CHLORIDE 10 % 1.33 MEQ/ML LIQD 10 MEQ, POTASSIUM CHLORIDE 10 % 1.33 MEQ/ML LIQD 473 ML, POTASSIUM CHLORIDE 10 MEQ/100 ML PGBK, POTASSIUM CHLORIDE 10 MEQ/100ML SOLN, POTASSIUM CHLORIDE 10% 30ML LI, POTASSIUM CHLORIDE 2 MEQ/M, POTASSIUM CHLORIDE 2 MEQ/ML SOLN 20 ML VIAL, POTASSIUM CHLORIDE 2 MEQ/ML SOLP, POTASSIUM CHLORIDE 2 MEQ/ML SOLP 20 ML VIAL, POTASSIUM CHLORIDE 40 MEQ/100ML IV 40 MEQ/100ML SOLN, POTASSIUM CHLORIDE IN STERILE WATER 40 MEQ/100 ML PGBK, POTASSIUM CHLORIDE SR 20MEQ TA, POTASSIUM CL 10MEQ/10, POTASSIUM CHLOR 20 MEQ PO, POTASSIUM CHLORIDE 2 MEQ/ML INTRAVENOUS SOLUTION, POTASSIUM CHLORIDE 20MEQ/15ML, POTASSIUM CHLORIDE LIQ 1.33MEQ, POTASSIUM CHLORIDE 2MEQ/ML INJ (ADDITIVE), POTASSIUM CHLORIDE 10 ME, POTASSIUM CHLORIDE SA 20, POTASSIUM CHLORIDE 10 MEQ TABLET SUSTAINED RELE, POTASSIUM CHLORIDE 20MEQ TAB S, POTASSIUM CHLOR 20 MEQ SR, POTASSIUM CHLOR 20 MEQ/100, POTASSIUM CHLOR 20 MEQ/50, POTASSIUM CHLORIDE 2 MEQ INJ, POTASSIUM CHLORIDE 20 MEQ/15ML (10%), POTASSIUM CHLORIDE 20 MEQ/15ML (10%) SOLN, POTASSIUM CHLORIDE PER 2 MEQ, POTASSIUM CHLORIDE 20 MEQ/50 ML INTRAVENOUS PIGGYBACK",32
DEXTROSE 5% SOLN 250 ML FLEX CONT,Diluent / Flush / Irrigant,0.8564285714285715,"DEXTROSE 5 % SOLN, DEXTROSE 5 % SOLN 50 ML FLEX CONT, DEXTROSE 5% 250ML, DEXTROSE 5% SOLN, DEXTROSE 5% SOLN 50 ML FLEX CONT, DEXTROSE 5% SOLP, DEXTROSE 5% SOLP 250 ML BA, DEXTROSE 5 % SOLP 250 ML BAG, DEXTROSE 5 % SOLN 250 ML FLEX CONT, DEXTROSE 5% SOLP 1 000 ML, DEXTROSE 5% SOLP 250 ML BAG, DEXTROSE 5% SOLP 50 ML BAG, DEXTROSE 5% SOLP 500 ML BA, DEXTROSE 5% SOLP 500 ML BAG",14
DRESSING MEPILEX SC 9X9 282400,Supply,0.8533333333333334,"DRESSING MEPITEL 4X8, DRESSING MEPILEX SAC, DRESSING MEPILEX",3
HB GRAM STAIN,"Laboratory, OR / Anesthesia / Recovery Room",,"GRAM STAIN, GRAM STAIN ONLY, HB GRAM STAIN, HCHG GRAM STAIN",4
IPRATROPIUM 0.02% SOLN 2.5 ML PLAS CONT,,,,0
AMPICILLIN-SULBACTAM 15 (10-5) G SOLR 1 EACH VIAL,Pharmacy,0.9033333333333333,"AMPICILLIN-SULBACTAM 1.5 (1-0.5) G SOLR 1 EACH VIAL, AMPICILLIN-SULBACTAM 250-125 MG/ML SOLR 1 EACH, AMPICILLIN-SULBACTAM 3 GRAM SOLR 1 EACH VIAL",3
HB OT EVALUATION,"Respiratory Therapy, PT / OT / Speech Therapy",,"OT EVALUATION, PT EVALUATION, RT EVALUATION DAILY, EVALUATION OT",4
PROMETHAZINE 25 MG/ML SOLN,Pharmacy,0.8320000000000001,"KETAMINE 10 MG/ML SOLN, METHADONE 1 MG/ML SOLN, METHADONE 10 MG/ML SOLN, MORPHINE 1 MG/ML SOLN, MORPHINE 15 MG/ML SOLN, MORPHINE 2 MG/ML SOLN, MORPHINE 25 MG/ML SOLN 10, PROMETHAZINE 25 MG INJECTION, BUMETANIDE 0.25 MG/ML SOLN, PROMETHAZINE 25 MG/1",10
HB CALCIUM IONIZED,"Laboratory, Monitoring, OR / Anesthesia / Recovery Room",,"CALCIUM IONIZED, CALCIUM IONIZED (BLOOD GAS, CALCIUM IONIZED (BLOOD GAS), CALCIUM  IONIZED, CALCIUM  TOTAL IONIZED, CALCIUM ION, CALCIUM IONIZE, CALCIUM IONIZED BLOOD, CALCIUM IONIZED WHOLE BLO, CALCIUM TOTAL IONIZED, HB CALCIUM IONIZED, HB IONIZED CALCIUM, HC CALCIUM  IONIZED  WB, HC CALCIUM IONIZED, QLAB=CALCIUM IONIZED, RESUS CALCIUM IONIZED, POCT CALCIUM IONIZED, HC IONIZED CALCIUM, HCHG LAB CALCIUM IONIZED, CALCIUM  IONIZED (ICAL), HCHG POC CALCIUM IONIZED",21
HB PROTHROMBIN TIME,Laboratory,0.8672727272727272,"HC PROTHROMBIN TIME, PROTHROMBIN TIME 1, PROTHROMBIN TM, INR (PROTHROMBIN TIME), PROTHROMBIN TIME INR, HC PROTHROMBIN TIME (PT), HCHG PROTHROMBIN TIME (PT), HC PROTHROMBIN, 65208000 - PROTHROMBIN TIME, PROTHROMBIN TIME, PROTHROMBIN TIME (PT)",11
BUDESONIDE 0.5 MG/2ML SUSP,"Plan Benefit, Pharmacy",,"BOSENTAN 5 MG/ML SUSP, BUDESONIDE 0.25 MG/2 ML NBSP 2 ML, BUDESONIDE 0.25 MG/2 ML NBSP 2 ML VIAL, BUDESONIDE 0.5 MG/2 ML NBSP 2 ML, BUDESONIDE 0.25 MG/2ML INH, BUDESONIDE NEB 0.25MG/2ML",6
HB DRESSING GUARDIV 3/4 FP27AD015,,,,0
SODIUM CHLORIDE 09% SOLN 100 ML FLEX CONT,"Diluent / Flush / Irrigant, Supply, Pharmacy",,"0.9% SODIUM CHLORIDE 0.9 % SOLN 50 ML FLEX CONT, SODIUM CHLOR INJ 100 M, SODIUM CHLORIDE, SODIUM CHLORIDE .9% 1000ML INJ, SODIUM CHLORIDE .9% INJ 1, SODIUM CHLORIDE 0, SODIUM CHLORIDE 0.9, SODIUM CHLORIDE 0.9 % 0.9, SODIUM CHLORIDE 0.9 % IV SOLP, SODIUM CHLORIDE 0.9 % SO, SODIUM CHLORIDE 0.9 % SOLN, SODIUM CHLORIDE 0.9 % SOLN 10 ML VIAL, SODIUM CHLORIDE 0.9 % SOLP, SODIUM CHLORIDE 0.9%, SODIUM CHLORIDE 0.9% 0.9, SODIUM CHLORIDE 0.9% 0.9% SOLN, SODIUM CHLORIDE 0.9% 100 ML BA, SODIUM CHLORIDE 0.9% 100ML, SODIUM CHLORIDE 0.9% 100ML IV, SODIUM CHLORIDE 0.9% 10ML SY, SODIUM CHLORIDE 0.9% 50ML, SODIUM CHLORIDE 0.9% FLU, SODIUM CHLORIDE 0.9% INJ, SODIUM CHLORIDE 0.9% INJ 10ML, SODIUM CHLORIDE 0.9% SO, SODIUM CHLORIDE 0.9% SOL, SODIUM CHLORIDE 0.9% SOL 100ML, SODIUM CHLORIDE 0.9% SOLN, SODIUM CHLORIDE 0.9% SOLN HPH0-0000-30, SODIUM CHLORIDE 0.9% SOLP, SODIUM CHLORIDE 0.9% VIAL 10ML, SODIUM CHLORIDE (PF) 0.9 % SOLN 10ML VIAL, SODIUM CHLORIDE 0.45% SOLP 500 ML BAG, SODIUM CHLORIDE 0.9 % SOLN 100 ML FLEX CONT, SODIUM CHLORIDE 0.9 % SOLN 50 ML FLEX CONT, SODIUM CHLORIDE 0.9% SOLP 1 000 ML FLEX CONT, SODIUM CHLORIDE 0.9% SOLP 100 ML BAG, SODIUM CHLORIDE 0.9% SOLP 250 ML BAG, SODIUM CHLORIDE 0.9% SOLP 50 ML BAG, SODIUM CHLORIDE 0.9% SOLP 500 ML FLEX CONT, SODIUM CHLORIDE 3% SOLP, SODIUM CHLORIDE (PF) 3% NEBU 4 ML PLAS CONT, SODIUM CHLORIDE 0.9 % INJECTION 3 ML, SODIUM CHLORIDE 3% NEBU 15 ML PLAS CONT, SODIUM CHLORIDE 0.9% IV SOLP, SODIUM CHLORIDE 0.9% SOLP 250 ML FLEX CONT, SODIUM CHLORIDE 0.9 % SOLP 50 ML BAG, SODIUM CHLORIDE 0.45 % SOLN 1 000 ML FLEX CONT, SODIUM CHLORIDE 0 9% SOLN, SODIUM CHLORIDE 0.9 % SOLP 250 ML BAG, SODIUM CHLORIDE 0.9% 250ML, SODIUM CHLORIDE 0.9 % SOLN 1 000 ML BOTTLE, SODIUM CHLORIDE 0.9 % SYRINGE, SODIUM CHLORIDE 0.9% PARENTERAL SOLUTION 100 ML, SODIUM CHLORIDE 0.9% PARENTERAL SOLUTION 150 ML",55
HB COMP METABOLIC PANEL,Laboratory,0.87,"BASIC METABOLIC PANEL, COMP MET PNL, HB COMP METABOLIC PANEL, COMPREH METABOLIC PANEL, COMP METABOLIC PANEL, COMP METABOLIC PANEL (CMPP",6
VITAMIN B - 1 100 MG TABS,Pharmacy,0.815,"THIAMINE 100 MG TABS, VITAMIN B-12, THIAMINE HCL 100MG TABS, VITAMIN B12",4
HB HEMOGLOBIN,"Laboratory, Monitoring, OR / Anesthesia / Recovery Room",,"HB HEMOGLOBIN, HBOL HEMOGLOBIN (HGB), HC HEMOGLOBIN, HCHG HEMOGLOBIN, HEMOGLOBIN, HEMOGLOBIN-ICU, HEMOGLOBIN  POC, HEHOGLOBIN, 65002003 - HEMOGLOBIN, HEMOGLOBIN ALC, HCHG METHEMOGLOBIN QN",11
HB PHOSPHORUS BLOOD,Laboratory,0.86,"HC PHOSPHORUS, PHOSPHORUS BLD, PHOSPHORUS BLOOD",3
CIPROFLOXACIN 400 MG/200ML SOLN,Pharmacy,0.8380000000000001,"CIPROFLOXACIN 2 MG/ML PGBK, CIPROFLOXACIN 500 MG/5 ML, CIPROFLOXACIN 400MG PREMIX, CIPROFLOXACIN 500 MG ORAL TAB, CIPROFLOXACIN 400 MG/200 ML PGBK",5
HB AMYLASE,Laboratory,0.8725,"HC AMYLASE, AMYLASE, AMYLASE (AMY), HCHG AMYLASE BLOOD",4
FOLIC ACID 1 MG TABS,Pharmacy,0.9299999999999999,"FOLIC ACID 1 MG TABS, FOLIC ACID TAB 1MG U/D",2
TRAY URINEMETER 16F DYND160816,,,,0
HEPARIN (PORCINE) IN NACL 100 - 0.45 UNIT/ML - % SOLN 250 ML FLEX CONT,,,,0
SODIUM CHLORIDE 0.9% SOLN,"Respiratory Therapy, Diluent / Flush / Irrigant, Supply, OR / Anesthesia / Recovery Room, Pharmacy",,"0.9% SODIUM CHLORIDE 0.9 % SOLN, HB SODIUM CHLORIDE 0.9% 10ML SYRN, HB SODIUM CHLORIDE 0.9% IV, SOD CHLOR 0.9%, SODIUM CHL 0, SODIUM CHL SOL, SODIUM CHLOR, SODIUM CHLORI, SODIUM CHLORID, SODIUM CHLORIDE, SODIUM CHLORIDE .9% 1000ML INJ, SODIUM CHLORIDE .9% INJ 1, SODIUM CHLORIDE .9% INJ 2, SODIUM CHLORIDE 0, SODIUM CHLORIDE 0., SODIUM CHLORIDE 0.45%, SODIUM CHLORIDE 0.45% FLUS, SODIUM CHLORIDE 0.9, SODIUM CHLORIDE 0.9 % 0.9, SODIUM CHLORIDE 0.9 % 0.9 % PGBK 100 ML ADDVANTAGE, SODIUM CHLORIDE 0.9 % INTRAVENOUS SOLUTION, SODIUM CHLORIDE 0.9 % IV SOLP, SODIUM CHLORIDE 0.9 % PGBK 100 ML BAG, SODIUM CHLORIDE 0.9 % SO, SODIUM CHLORIDE 0.9 % SOLN, SODIUM CHLORIDE 0.9 % SOLN 10 ML VIAL, SODIUM CHLORIDE 0.9 % SOLP, SODIUM CHLORIDE 0.9 % SYRG 10 ML SYRINGE, SODIUM CHLORIDE 0.9%, SODIUM CHLORIDE 0.9% 0.9, SODIUM CHLORIDE 0.9% 0.9 % SOLP, SODIUM CHLORIDE 0.9% 0.9 % SOLP 50 ML BAG, SODIUM CHLORIDE 0.9% 0.9% SOLN, SODIUM CHLORIDE 0.9% 0.9% SYRG 10 ML SYRINGE, SODIUM CHLORIDE 0.9% 100 ML BA, SODIUM CHLORIDE 0.9% 100ML, SODIUM CHLORIDE 0.9% 100ML 0264-1800-32, SODIUM CHLORIDE 0.9% 100ML IV, SODIUM CHLORIDE 0.9% 10ML SY, SODIUM CHLORIDE 0.9% 250ML I, SODIUM CHLORIDE 0.9% 250ML IV, SODIUM CHLORIDE 0.9% 25ML, SODIUM CHLORIDE 0.9% 50ML, SODIUM CHLORIDE 0.9% 50ML 5 0264-1800-31, SODIUM CHLORIDE 0.9% 50ML BAG, SODIUM CHLORIDE 0.9% 50ML MB+, SODIUM CHLORIDE 0.9% FLU, SODIUM CHLORIDE 0.9% INJ, SODIUM CHLORIDE 0.9% INJ 10ML, SODIUM CHLORIDE 0.9% IV, SODIUM CHLORIDE 0.9% IVPB  5, SODIUM CHLORIDE 0.9% QS BASE, SODIUM CHLORIDE 0.9% SO, SODIUM CHLORIDE 0.9% SOL, SODIUM CHLORIDE 0.9% SOL 100ML, SODIUM CHLORIDE 0.9% SOLN, SODIUM CHLORIDE 0.9% SOLN HPH0-0000-30, SODIUM CHLORIDE 0.9% SOLP, SODIUM CHLORIDE 0.9% SYRG, SODIUM CHLORIDE 0.9% SYRG 10 ML SYRINGE, SODIUM CHLORIDE 0.9% VIAL 10ML, SODIUM CHLORIDE 10 ML SYR, SODIUM CHLORIDE INJ 0.9%, SODIUM CHLORIDE PER 250 ML, SODIUM CHLORIDE (PF) 0.9 % SOLN 10ML VIAL, SODIUM CHLORIDE 0.45% SOLP, SODIUM CHLORIDE 0.45% SOLP 500 ML BAG, SODIUM CHLORIDE 0.9 % SOLN 100 ML FLEX CONT, SODIUM CHLORIDE 0.9 % SOLN 50 ML FLEX CONT, SODIUM CHLORIDE 0.9% SOLP 1 000 ML FLEX CONT, SODIUM CHLORIDE 0.9% SOLP 100 ML BAG, SODIUM CHLORIDE 0.9% SOLP 250 ML BAG, SODIUM CHLORIDE 0.9% SOLP 50 ML BAG, SODIUM CHLORIDE 0.9% SOLP 500 ML FLEX CONT, SODIUM CHLORIDE 2.5 MEQ/ML, SODIUM CHLORIDE 2.5 MEQ/ML SOLN, SODIUM CHLORIDE 2.5 MEQ/ML SOLN 40 ML, SODIUM CHLORIDE 3 % NEBU, SODIUM CHLORIDE 4 MEQ/ML S, SODIUM CHLORIDE 4 MEQ/ML SOLP, SODIUM CHLORIDE PER 500 ML, SODIUM CHLORIDE POWD, SODIUM CHLORIDE 3% SOLP, SODIUM CHLORIDE 0.9 % INJECTION 3 ML, SODIUM CHLORIDE 0.9 % NEBU 3 ML BLIST PACK, SODIUM CHLORIDE 0.9% 3ML INHA, SODIUM CHLORIDE 0.9% IV SOLP, SODIUM CHLORIDE 0.9% SOLP 250 ML FLEX CONT, SODIUM CHLORIDE 0.9 % PGBK 50 ML BAG, SODIUM CHLORIDE 3% 500ML, SODIUM CHLORIDE 0.9 % SOLP 50 ML BAG, SODIUM CHLORIDE 0.45 % SOLN 1 000 ML FLEX CONT, SODIUM CHLORIDE 0 9% SOLN, SODIUM CHLORIDE 0.9 % SOLP 250 ML BAG, SODIUM CHLORIDE 7 % NEBU, SODIUM CHL 0.9% 100ML, SODIUM CHLORIDE 0.9% 250ML, SODIUM CHLORIDE 4 MEQ/ML SOLN 30 ML VIAL, SODIUM CHLORIDE 0.9% 0.9 % SOLP 1 000 ML BAG, SODIUM CHLORIDE 0.9 % SOLN 1 000 ML BOTTLE, SODIUM CHLORIDE 0.9 % SYRINGE, SODIUM CHLORIDE 0.9% PARENTERAL SOLUTION, SODIUM CHLORIDE 0.9% PARENTERAL SOLUTION 100 ML, SODIUM CHLORIDE 0.9% PARENTERAL SOLUTION 150 ML, SODIUM CHLORIDE 0.45 % INTRAVENOUS SOLUTION",105
ALBUMIN HUMAN 25% SOLN,"OR / Anesthesia / Recovery Room, Pharmacy",,"ALBUMIN 25 % SOLP, ALBUMIN 5 % SOLP, ALBUMIN HUMAN 5PCT 250ML, ALBUMIN (HUMAN)  25%  50ML, ALBUMIN (HUMAN) 25% 50ML, ALBUMIN HUMAN 25% 100ML INJE, ALBUMIN HUMAN 25 % SOLN, ALBUMIN HUMAN 5% SOLN, ALBUMIN HUMAN 25% SOLP, ALBUMIN HUMAN 5% 250ML IV, ALBUMIN HUMAN 5% 500 ML IV, ALBUMIN HUMAN 25 % INTRAVENOUS SOLUTION, ALBUMIN HUMAN 5 % INTRAVENOUS SOLUTION",13
PIPERACILLIN-TAZOBACTAM 36-4.5 G SOLR 1 EACH VIAL,Pharmacy,0.8400000000000001,"PIPERACILLIN-TAZOBACTAM 3.375 GM/50ML SOLN, PIPERACILLIN-TAZOBACTAM 40, PIPERACILLIN-TAZOBACTAM 4., PIPERACILLIN / TAZOBACTAM, PIPERACILLIN-TAZOBACTAM 1.125 G IV",5
ASPIRIN 300 MG SUPP,,,,0
ASPIRIN 325 MG TABS,Pharmacy,0.8766666666666666,"ASPIRIN 325 MG TABS, ASPIRIN 81 MG CHEW TAB, QUETIAPINE 25 MG TABS",3
HB CBC/PLT/NO DIFF,Laboratory,0.82,CBC NO DIFF,1
HEPARIN (PORCINE) 2 - 09 UNIT/ML - % SOLN,"OR / Anesthesia / Recovery Room, Diluent / Flush / Irrigant, Pharmacy",,"HEPARIN (PORCINE) 10 UNI, HEPARIN (PORCINE) 10 UNIT/ML SOLN 3 ML SYRINGE, HEPARIN (PORCINE) 100 UNIT/ML SOLN, HEPARIN (PORCINE) (PF) 5 000 UNIT 0.5 ML SYRG, HEPARIN (PORCINE) 25 000 U, HEPARIN (PORCINE) 50-0.45 UNIT/ML-% SOLN, HEPARIN (PORCINE) 1 000 UNIT/ML SOLN 1 ML VIAL, HEPARIN (PORCINE) 100 UNIT/ML SOLN 250 ML EXTEMP, HEPARIN (PORCINE) PER 1000 UNITS, HEPARIN PORCINE 1000 UNITS, HEPARIN PORCINE 1 000 UNIT/ML INJECTION SOLUTION",11
MEROPENEM 1 G SOLR 1 EACH VIAL,,,,0
