Procedure Code,# of desciptions,Unique charge classes,Unique rev codes names
00065,1,Pharmacy,Drugs Requiring Specific Identification
83100006,1,Laboratory,Laboratory
30000269,1,Laboratory,Laboratory
30183735,1,Laboratory,Laboratory
7175314,1,Supply,Implant/Supply
01120781,1,Laboratory,Laboratory
031147,1,Radiology,Radiology
00103,1,Respiratory Therapy,Implant/Supply
180076,1,Laboratory,Laboratory
64768100,1,Laboratory,Laboratory
4779093,1,Laboratory,Laboratory
11501693,1,Supply,Implant/Supply
86401004,1,PT / OT / Speech Therapy,PT/OT/Speech
19701903,1,Supply,Implant/Supply
19007750,1,Laboratory,Laboratory
01595,1,Laboratory,Laboratory
01015,1,Laboratory,Laboratory
9000124,1,Respiratory Therapy,Respiratory Services
00869,1,Pharmacy,Pharmacy
58865000,1,Respiratory Therapy,Respiratory Services
28B 143,1,Pharmacy,Drugs Requiring Specific Identification
305000008·HC,1,Laboratory,Laboratory
11700121,1,Laboratory,Laboratory
11700122,1,Laboratory,Laboratory
00860,1,Pharmacy,Drugs Requiring Specific Identification
067971,1,Pharmacy,Drugs Requiring Specific Identification
J1265,1,Pharmacy,Drugs Requiring Specific Identification
30136900,1,Laboratory,Laboratory
37110,1,PT / OT / Speech Therapy,PT/OT/Speech
01430073,1,Pharmacy,Pharmacy
27000321,1,Supply,Implant/Supply
15007,1,Laboratory,Laboratory
11503123,1,Supply,Implant/Supply
55027,1,Laboratory,Laboratory
22145,1,Laboratory,Laboratory
86850A,1,Laboratory,Laboratory
360259,1,Respiratory Therapy,Implant/Supply
86401003,1,PT / OT / Speech Therapy,PT/OT/Speech
41B50966,1,Respiratory Therapy,Implant/Supply
63415,1,Nursing Services,Laboratory
2000001,1,Room and Board,Intensive Care
311000,1,Room and Board,Room & Board
300000229,1,Monitoring,Laboratory
733203373,1,Radiology,CT Scan
30015715,1,Monitoring,Laboratory
12 1992,1,Respiratory Therapy,Respiratory Services
01481536,1,Pharmacy,Pharmacy
301000359,1,Laboratory,Laboratory
A2405,1,Pharmacy,Drugs Requiring Specific Identification
018927,1,Radiology,Radiology
88850,1,Laboratory,Blood
J2175,1,Pharmacy,Drugs Requiring Specific Identification
10620,1,Laboratory,Laboratory
01445584,1,Pharmacy,Pharmacy
036871,1,Laboratory,Laboratory
037771,1,Laboratory,Laboratory
01484598,1,Pharmacy,Pharmacy
01484597,1,Pharmacy,Pharmacy
27101001,1,Radiology,Radiology
8177935,1,Supply,Implant/Supply
58304000,1,Procedure,OR Services
47603042,1,Laboratory,Laboratory
23000070,1,Nursing Services,Blood
0=482125,1,Pharmacy,Pharmacy
30000674,1,Laboratory,Laboratory
83000595,1,Laboratory,Laboratory
30000673,1,Laboratory,Laboratory
9512123,1,Nursing Services,Laboratory
672002,1,Pharmacy,Pharmacy
LB0800I0,1,Laboratory,Laboratory
85023,1,Laboratory,Laboratory
010I8753,1,Laboratory,Laboratory
42300263,1,Radiology,Radiology
01900026,1,Radiology,MRI
01501004,1,Monitoring,Room & Board
13280212,1,Pharmacy,Pharmacy
01456763,1,Pharmacy,Pharmacy
85 610,1,Laboratory,Laboratory
361000557,1,Nursing Services,Laboratory
30585379,1,Laboratory,Laboratory
13765242,1,Pharmacy,Pharmacy
3100150,1,Laboratory,Laboratory
64944000,1,Laboratory,Laboratory
01476498,1,Pharmacy,Pharmacy
11514710,1,Supply,Implant/Supply
F9016,1,Blood Products,Blood
119210,1,Laboratory,Laboratory
43000020,1,PT / OT / Speech Therapy,PT/OT/Speech
142301,1,Laboratory,Laboratory
030537520466,1,Laboratory,Laboratory
43722525,1,PT / OT / Speech Therapy,PT/OT/Speech
1434711,1,Pharmacy,Pharmacy
30110150,1,Laboratory,Laboratory
4363011,1,Laboratory,Laboratory
JL€42,1,Diluent / Flush / Irrigant,Pharmacy
3140972,1,Supply,OR Services
128792407,1,Pharmacy,Pharmacy
11501194,1,Supply,Implant/Supply
30000078,1,Laboratory,Laboratory
RX001.,1,Pharmacy,Pharmacy
15324312,1,Pharmacy,Pharmacy
15574052,1,Pharmacy,Pharmacy
30000077,1,Laboratory,Laboratory
J 1542,1,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
30000230,1,Laboratory,Laboratory
00090,1,Supply,Implant/Supply
"12722765
0",1,Supply,Pharmacy
T761,1,Pharmacy,Drugs Requiring Specific Identification
34300,1,Laboratory,Laboratory
83733,1,Laboratory,Laboratory
600002,1,Pharmacy,Pharmacy
83048,1,Laboratory,Laboratory
29113,1,Pharmacy,Drugs Requiring Specific Identification
037770,1,Laboratory,Laboratory
017918,1,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
24216,1,Diluent / Flush / Irrigant,Pharmacy
82 JJO,1,Laboratory,Laboratory
01468529,1,Pharmacy,Pharmacy
10541000,1,Diluent / Flush / Irrigant,Pharmacy
11501195,1,Supply,Implant/Supply
11506547,1,Supply,Implant/Supply
"13002939
0",1,Pharmacy,Pharmacy
94134,1,Laboratory,Laboratory
83135,1,Laboratory,Laboratory
04251757,1,PT / OT / Speech Therapy,PT/OT/Speech
1807606,1,Pharmacy,Pharmacy
4228060,1,Laboratory,Laboratory
42000019,1,PT / OT / Speech Therapy,PT/OT/Speech
30100097,1,Laboratory,Laboratory
99847646,1,Pharmacy,Drugs Requiring Specific Identification
7212070046,1,Monitoring,Laboratory
03960,1,Laboratory,Laboratory
30000580,1,Laboratory,Laboratory
609 038,1,Monitoring,Laboratory
896143,1,Laboratory,Laboratory
30086901,1,Laboratory,Laboratory
01416569,1,Pharmacy,Pharmacy
K9270GY,1,Pharmacy,Pharmacy
19103753,1,Nursing Services,Other Diagnostic Services
»1170,1,Pharmacy,Drugs Requiring Specific Identification
37206,1,Laboratory,Laboratory
27400001,1,Radiology,Radiology
4229000,1,Laboratory,Laboratory
45000602,1,Nursing Services,Emergency Room
63600023,1,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
4288053,1,Laboratory,Laboratory
30184484,1,Laboratory,Laboratory
84443.0,1,Laboratory,Laboratory
"12742627
5",1,Pharmacy,Pharmacy
85D10,1,Laboratory,Laboratory
01454594,1,Pharmacy,Pharmacy
37013,1,Laboratory,Laboratory
30184134,1,Laboratory,Laboratory
64000P6,1,Pharmacy,Drugs Requiring Specific Identification
117574,1,Laboratory,Laboratory
30002919,1,Monitoring,Laboratory
1024637,1,Laboratory,Laboratory
03B346,1,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
01040781,1,Laboratory,Laboratory
80089,1,Laboratory,Laboratory
64060000,1,Laboratory,Laboratory
121824870,1,Pharmacy,Pharmacy
01495037,1,Pharmacy,Pharmacy
97530GP,1,PT / OT / Speech Therapy,PT/OT/Speech
1466382,1,Pharmacy,Pharmacy
2060330,1,Room and Board,Room & Board
86402001,1,PT / OT / Speech Therapy,PT/OT/Speech
054323,1,Nursing Services,Blood
30183690,1,Laboratory,Laboratory
10002605,1,PT / OT / Speech Therapy,PT/OT/Speech
A0197,1,Laboratory,Laboratory
80088,1,Laboratory,Laboratory
63023001,1,Laboratory,Laboratory
868332,1,Laboratory,Laboratory
639990,1,Pharmacy,Drugs Requiring Specific Identification
128708912,1,Diluent / Flush / Irrigant,Pharmacy
01055,1,Laboratory,Laboratory
01482621,1,Pharmacy,Pharmacy
820365,1,Monitoring,Laboratory
01451350,1,Pharmacy,Pharmacy
£03 72,1,Capital Equipment,Implant/Supply
302000192·,1,Laboratory,Laboratory
20000001,1,Room and Board,Intensive Care
800000000,1,Laboratory,Laboratory
11503934,1,Supply,Implant/Supply
073878,1,Pharmacy,Pharmacy
9111616,1,Nursing Services,Respiratory Services
48310000,1,Cardiology,Cardiology
37302,1,Laboratory,Laboratory
073533,1,Pharmacy,Drugs Requiring Specific Identification
86900009,1,Laboratory,Laboratory
10085,1,Radiology,Radiology
3010390,1,Laboratory,Laboratory
401828,1,Pharmacy,Pharmacy
64984000,1,Laboratory,Laboratory
C34402,1,Respiratory Therapy,Respiratory Services
30020834,1,Laboratory,Laboratory
1 1170,1,Room and Board,Room & Board
12454800,1,Pharmacy,Pharmacy
1SSS,1,Laboratory,Laboratory
1024983,1,Laboratory,Laboratory
307000002,1,Laboratory,Laboratory
8000003,1,Laboratory,Laboratory
4000697,1,Radiology,Radiology
34460,1,Laboratory,Laboratory
8930250,1,PT / OT / Speech Therapy,PT/OT/Speech
01468891,1,Pharmacy,Pharmacy
903954,1,PT / OT / Speech Therapy,PT/OT/Speech
HMM 7375,1,Supply,Implant/Supply
83590,1,Laboratory,Laboratory
4228999,1,Laboratory,Laboratory
403304,1,Pharmacy,Pharmacy
01482844,1,Pharmacy,Pharmacy
H4216,1,Diluent / Flush / Irrigant,Pharmacy
4107235,1,Laboratory,Laboratory
00476,1,Laboratory,Laboratory
72 060,1,Pharmacy,Drugs Requiring Specific Identification
00473,1,Pharmacy,Drugs Requiring Specific Identification
77017424,1,Supply,Implant/Supply
5414150,1,Diluent / Flush / Irrigant,Implant/Supply
90001259,1,Cardiology,EKG/ECG/EEG
19002263,1,Laboratory,Laboratory
410001,1,Laboratory,Laboratory
LB 8204,1,Laboratory,Laboratory
301002294,1,Laboratory,Laboratory
J 7070,1,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
800001441,1,Laboratory,Laboratory
60039740,1,Laboratory,Laboratory
24711616,1,Laboratory,Laboratory
11511787,1,Plan Benefit,Implant/Supply
4104132,1,Laboratory,Laboratory
952 387,1,Nursing Services,Pulmonary Function
5080320,1,Monitoring,Laboratory
01090091,1,Monitoring,Laboratory
273209,1,Pharmacy,Pharmacy
6003903&,1,Laboratory,Laboratory
26392,1,Pharmacy,Pharmacy
117803,1,Laboratory,Laboratory
5040092,1,Pharmacy,Drugs Requiring Specific Identification
16704,1,Laboratory,Laboratory
19704529,1,Radiology,OR Services
Z7610,1,Supply,Implant/Supply
074939,1,PT / OT / Speech Therapy,PT/OT/Speech
J240S,1,Pharmacy,Drugs Requiring Specific Identification
800836,1,Laboratory,Laboratory
100001541,1,Nursing Services,Other Therapeutic Services
402054,1,Pharmacy,Pharmacy
83000133'HC,1,Laboratory,Laboratory
30585610,1,Laboratory,Laboratory
32784,1,Laboratory,Laboratory
21100,1,Pharmacy,Drugs Requiring Specific Identification
004152,1,Laboratory,Laboratory
30B610,1,Pharmacy,Drugs Requiring Specific Identification
37500175,1,Monitoring,Laboratory
01481769,1,Pharmacy,Pharmacy
63526001,1,Laboratory,Laboratory
37500218,1,Laboratory,Laboratory
16493,1,Laboratory,Laboratory
55282948,1,Supply,Implant/Supply
01433853,1,Pharmacy,Pharmacy
93321,1,Cardiology,Cardiology
3000848,1,Laboratory,Laboratory
3000027,1,Nursing Services,Laboratory
3000022,1,Laboratory,Laboratory
002934,1,Pharmacy,Pharmacy
22002 25,1,Laboratory,Laboratory
86401006,1,PT / OT / Speech Therapy,PT/OT/Speech
4779224,1,Laboratory,Laboratory
85 30,1,Laboratory,Laboratory
203618,1,Pharmacy,Pharmacy
86401007,1,PT / OT / Speech Therapy,PT/OT/Speech
24711723,1,Laboratory,Laboratory
01462571,1,Pharmacy,Pharmacy
30 206,1,Laboratory,Laboratory
H4683,1,Monitoring,Laboratory
01521673,1,Laboratory,Laboratory
30100224,1,Laboratory,Laboratory
902532,1,Laboratory,Laboratory
20372,1,Capital Equipment,Implant/Supply
05730,1,Laboratory,Laboratory
903457,1,Nursing Services,Laboratory
01416395,1,Pharmacy,Pharmacy
9066000,1,Radiology,CT Scan
100001708,1,Monitoring,EKG/ECG/EEG
01416718,1,Pharmacy,Pharmacy
11500233,1,Supply,Implant/Supply
3000020,1,Laboratory,Laboratory
451010,1,Laboratory,Laboratory
24702516,1,Laboratory,Laboratory
22003263,1,Monitoring,Laboratory
G0C40840,1,Laboratory,Laboratory
10706,1,Pharmacy,Pharmacy
128435932,1,Pharmacy,Pharmacy
9000959,1,Laboratory,Laboratory
01015296,1,Laboratory,Laboratory
11700022,1,Pharmacy,Pharmacy
50403559,1,Laboratory,Laboratory
1802974,1,Pharmacy,Pharmacy
J7611 (CPT®),1,Pharmacy,Pharmacy
104 017,1,Laboratory,Laboratory
H3010302,1,Laboratory,Laboratory
87581,1,Laboratory,Laboratory
77075690,1,Supply,Implant/Supply
80055,1,Laboratory,Laboratory
60615000,1,Laboratory,Implant/Supply
"12974127
8",1,Diluent / Flush / Irrigant,Pharmacy
11501685,1,Supply,Implant/Supply
12075662,1,Pharmacy,Pharmacy
96374,1,Nursing Services,IV Therapy
45CO,1,Laboratory,Laboratory
34744071,1,Laboratory,Laboratory
96371,1,Nursing Services,IV Therapy
123220900,1,Pharmacy,Pharmacy
00506493,1,Procedure,Other Diagnostic Services
439010,1,Laboratory,Laboratory
D1482361,1,OR / Anesthesia / Recovery Room,Pharmacy
677024,1,Diluent / Flush / Irrigant,Pharmacy
02107,1,Pharmacy,Pharmacy
"12925545
3",1,Pharmacy,Pharmacy
400028824,1,Supply,Implant/Supply
8704091,1,Laboratory,Laboratory
3641 S,1,Nursing Services,Laboratory
117675,1,Laboratory,Laboratory
11501681,1,Supply,Implant/Supply
86965,1,Blood Products,Blood
84 34,1,Laboratory,Laboratory
9007349,1,Laboratory,Laboratory
110001,1,Nursing Services,Blood
11502647,1,Supply,Implant/Supply
84132 (CPT®),1,Laboratory,Laboratory
4779129,1,Laboratory,Laboratory
117075,1,Laboratory,Laboratory
15574012,1,Pharmacy,Pharmacy
11505816,1,Supply,Implant/Supply
00506287,1,Supply,Implant/Supply
400019536,1,Supply,Implant/Supply
37000257,1,OR / Anesthesia / Recovery Room,Anesthesia
10904090,1,Pharmacy,Pharmacy
11513131,1,Supply,Implant/Supply
370001374,1,PT / OT / Speech Therapy,PT/OT/Speech
38346,1,Pharmacy,Drugs Requiring Specific Identification
J2403,1,Pharmacy,Drugs Requiring Specific Identification
JO690,1,Pharmacy,Pharmacy
301000298,1,Laboratory,Laboratory
SURG,1,Respiratory Therapy,OR Services
59250015,1,OR / Anesthesia / Recovery Room,Anesthesia
5040087,1,Pharmacy,Pharmacy
014181846,1,Diluent / Flush / Irrigant,Pharmacy
12704,1,Pharmacy,Pharmacy
77030070,1,Supply,Implant/Supply
76700,1,Radiology,Other Imaging Services
1910900,1,Laboratory,Laboratory
43901C,1,Laboratory,Laboratory
31564297,1,Diluent / Flush / Irrigant,Pharmacy
22007,1,Laboratory,Laboratory
22006,1,Laboratory,Laboratory
11757S,1,Laboratory,Laboratory
63735002,1,Laboratory,Laboratory
82997,1,Laboratory,Laboratory
LB072172,1,Laboratory,Laboratory
01.015510,1,Laboratory,Laboratory
JL650,1,Pharmacy,Pharmacy
677336,1,Pharmacy,Drugs Requiring Specific Identification
80001606,1,Laboratory,Laboratory
7252330,1,Laboratory,Laboratory
82 565,1,Laboratory,Laboratory
7 010,1,Radiology,Radiology
9471002,1,Nursing Services,Blood
11509457,1,Supply,Implant/Supply
9000043,1,Respiratory Therapy,Respiratory Services
32525,1,Laboratory,Laboratory
301000291,1,Laboratory,Laboratory
30100195,1,Laboratory,Laboratory
85014048,1,Monitoring,Laboratory
9711000,1,PT / OT / Speech Therapy,PT/OT/Speech
344083,1,Laboratory,Laboratory
86600,1,Nursing Services,Respiratory Services
B3690,1,Laboratory,Laboratory
83101000,1,Cardiology,EKG/ECG/EEG
"13017718
0",1,Pharmacy,Pharmacy
19237,1,Laboratory,Laboratory
14966040,1,Pharmacy,Pharmacy
83000745,1,Laboratory,Laboratory
40470056,1,Laboratory,Laboratory
4228540,1,Laboratory,Laboratory
6001320C,1,Laboratory,Laboratory
41000005,1,Nursing Services,Respiratory Services
"12786642
0",1,Pharmacy,Pharmacy
11504052,1,Supply,Implant/Supply
11065212,1,Pharmacy,Pharmacy
77015279,1,Supply,Implant/Supply
11514495,1,Supply,Implant/Supply
11066252,1,Pharmacy,Pharmacy
5170252,1,Supply,Pharmacy
01130723,1,Laboratory,Laboratory
A9152,1,Pharmacy,Pharmacy
11401023,1,Laboratory,Laboratory
01464833,1,Pharmacy,Pharmacy
1460708,1,Diluent / Flush / Irrigant,Pharmacy
B7102,1,Laboratory,Laboratory
1435700,1,Diluent / Flush / Irrigant,Pharmacy
00351,1,Laboratory,Laboratory
30100089,1,Laboratory,Laboratory
85C27,1,Laboratory,Laboratory
30182247,1,Laboratory,Laboratory
RXOLL,1,Pharmacy,Pharmacy
B4530,1,Laboratory,Laboratory
70245,1,Laboratory,Laboratory
86202223,1,Laboratory,Laboratory
8956125,1,PT / OT / Speech Therapy,PT/OT/Speech
01040559,1,Laboratory,Laboratory
122140,1,Laboratory,Laboratory
S0017,1,Pharmacy,Pharmacy
124579103,1,Pharmacy,Pharmacy
J3260,1,Pharmacy,Pharmacy
30000646,1,Laboratory,Laboratory
B1003,1,Laboratory,Laboratory
T7611,1,Pharmacy,Drugs Requiring Specific Identification
83000587,1,Laboratory,Laboratory
371028,1,Nursing Services,Laboratory
301000104,1,Laboratory,Laboratory
403553,1,Diluent / Flush / Irrigant,Pharmacy
11514816,1,Supply,Implant/Supply
SS480048,1,Laboratory,Laboratory
01209,1,Laboratory,Laboratory
40744,1,Pharmacy,Pharmacy
S0372,1,Capital Equipment,Implant/Supply
8000000,1,Nursing Services,Laboratory
01452051,1,Pharmacy,Pharmacy
800000934,1,Laboratory,Laboratory
11504020,1,Supply,Implant/Supply
800001449,1,Laboratory,Laboratory
00249,1,Laboratory,Laboratory
11504845,1,Supply,Implant/Supply
126021336,1,Pharmacy,Pharmacy
811385,1,OR / Anesthesia / Recovery Room,OR Services
33502419,1,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
12155022,1,Pharmacy,Pharmacy
ANN1611CL,1,Laboratory,Laboratory
3000511,1,Laboratory,Laboratory
300844840,1,Laboratory,Laboratory
72250,1,Pharmacy,Drugs Requiring Specific Identification
11501211,1,Supply,Implant/Supply
H3050063,1,Laboratory,Laboratory
B4081,1,Supply,Implant/Supply
LB 2829,1,Laboratory,Laboratory
300C0001,1,Nursing Services,Laboratory
85021,1,Laboratory,Laboratory
86205309,1,Laboratory,Laboratory
J2962,1,Monitoring,Laboratory
43603042,1,Laboratory,Laboratory
11504051,1,Supply,Implant/Supply
760101578,1,Laboratory,Laboratory
418021JJ,1,Capital Equipment,Implant/Supply
J218S,1,Pharmacy,Drugs Requiring Specific Identification
288040,1,Laboratory,Laboratory
00088,1,Laboratory,Laboratory
· 4100,1,Laboratory,Laboratory
00085,1,Pharmacy,Pharmacy
01800101,1,Radiology,CT Scan
004420,1,Laboratory,Laboratory
122731230,1,Pharmacy,Pharmacy
30003024,1,Laboratory,Laboratory
40328759,1,Laboratory,Laboratory
11504536,1,Supply,Implant/Supply
83725,1,Laboratory,Laboratory
5653665,1,Diluent / Flush / Irrigant,Pharmacy
11111132,1,Pharmacy,Pharmacy
86901.0,1,Laboratory,Laboratory
1701093,1,Radiology,Radiology
30200160,1,Laboratory,Laboratory
01444090,1,Pharmacy,Pharmacy
003917,1,Laboratory,Laboratory
32074000,1,Radiology,Radiology
65003003,1,Laboratory,Laboratory
4104443,1,Laboratory,Laboratory
30184100,1,Laboratory,Laboratory
01482634,1,Pharmacy,Pharmacy
01482635,1,Pharmacy,Pharmacy
0000394 -,1,Laboratory,Laboratory
94640 76,1,Respiratory Therapy,Respiratory Services
42800258,1,Radiology,Radiology
9270GY,1,Pharmacy,Pharmacy
800000248,1,Laboratory,Laboratory
01457795,1,Pharmacy,Pharmacy
8707059,1,Laboratory,Laboratory
450000236,1,Procedure,Emergency Room
19001816,1,Laboratory,Laboratory
8218501,1,Laboratory,Laboratory
01709030,1,Supply,Implant/Supply
J341,1,Pharmacy,Drugs Requiring Specific Identification
"13067426
3",1,Pharmacy,Pharmacy
130759090,1,Diluent / Flush / Irrigant,Pharmacy
902538,1,Laboratory,Laboratory
09230,1,Laboratory,Laboratory
11500656,1,Supply,Implant/Supply
11500657,1,Supply,Implant/Supply
63019003,1,Laboratory,Laboratory
86401002,1,PT / OT / Speech Therapy,PT/OT/Speech
428000G0,1,Radiology,Radiology
80372,1,Capital Equipment,Implant/Supply
94 71002,1,Nursing Services,Blood
86403001,1,PT / OT / Speech Therapy,PT/OT/Speech
17219,1,Laboratory,Laboratory
00630,1,Nursing Services,Laboratory
8004 8,1,Laboratory,Laboratory
J52387,1,Nursing Services,Pulmonary Function
13318212,1,Pharmacy,Pharmacy
00098,1,Supply,Implant/Supply
30018716,1,Monitoring,Laboratory
33690,1,Laboratory,Laboratory
58872000,1,Education / Training,Respiratory Services
HCLAB13050003,1,Laboratory,Laboratory
HCLAB13050004,1,Monitoring,Laboratory
C1462571,1,Pharmacy,Pharmacy
01481092,1,Pharmacy,Pharmacy
04190,1,Pharmacy,Pharmacy
2223005,1,Cardiology,EKG/ECG/EEG
11502804,1,Supply,Implant/Supply
075597,1,Pharmacy,Pharmacy
132855411,1,Pharmacy,Pharmacy
30100426,1,Laboratory,Laboratory
30100420,1,Laboratory,Laboratory
00232,1,Laboratory,Laboratory
300000147,1,Laboratory,Laboratory
94540,1,Respiratory Therapy,Respiratory Services
300000144,1,Laboratory,Laboratory
"12885893
2",1,Diluent / Flush / Irrigant,Pharmacy
0035864,1,Supply,Implant/Supply
04195,1,Laboratory,Laboratory
014357CO,1,Diluent / Flush / Irrigant,Pharmacy
60013200,1,Laboratory,Laboratory
J0835,1,Pharmacy,Drugs Requiring Specific Identification
01121367,1,Laboratory,Laboratory
7115322,1,Radiology,Other Imaging Services
125785967,1,Pharmacy,Pharmacy
48416,1,Laboratory,Laboratory
4779151,1,Laboratory,Laboratory
11500015,1,Supply,Implant/Supply
01122811,1,Laboratory,Laboratory
62302450,1,Laboratory,Laboratory
812928,1,Supply,Respiratory Services
11502803,1,Supply,Implant/Supply
596016,1,Pharmacy,Drugs Requiring Specific Identification
084375,1,Pharmacy,Drugs Requiring Specific Identification
56684145,1,Laboratory,Laboratory
036933,1,Laboratory,Laboratory
01723071,1,Radiology,Radiology
01482455,1,Pharmacy,Pharmacy
11513446,1,Supply,Implant/Supply
300000316,1,Laboratory,Laboratory
270000059,1,Respiratory Therapy,Implant/Supply
1482094,1,Pharmacy,Pharmacy
04251807,1,PT / OT / Speech Therapy,PT/OT/Speech
60016150,1,Laboratory,Laboratory
"12885892
3",1,Pharmacy,Pharmacy
J1205,1,Pharmacy,Drugs Requiring Specific Identification
1428523,1,Diluent / Flush / Irrigant,Pharmacy
82374.0,1,Laboratory,Laboratory
60016450,1,Laboratory,Laboratory
11503583,1,Supply,Implant/Supply
11503582,1,Supply,Implant/Supply
63007004,1,Laboratory,Laboratory
320928,1,PT / OT / Speech Therapy,PT/OT/Speech
£0372,1,Capital Equipment,Implant/Supply
142136,1,Supply,Implant/Supply
30112228,1,Laboratory,Laboratory
63011004,1,Laboratory,Laboratory
01522078,1,Laboratory,Laboratory
"12885891
8",1,Pharmacy,Pharmacy
344141,1,Nursing Services,Laboratory
D 1481954,1,Pharmacy,Pharmacy
01481643,1,Pharmacy,Pharmacy
8400004,1,Laboratory,Laboratory
01481645,1,Pharmacy,Pharmacy
65000049,1,Diluent / Flush / Irrigant,Pharmacy
11501234,1,Supply,Implant/Supply
760101904,1,Laboratory,Laboratory
