descrip,# of descs,# of rev code grps,# of charge classes,Unique charge classes,Unique rev codes grps
HEPARIN (PORCINE) 100 UNIT/ML SOLN 250 ML EXTEMP,2,2,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Pharmacy"
FENTANYL CITRATE 0.1MG INJ,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
NYSTATIN 500000 UNITS/5ML SUSP,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
CT HEAD WO CONTRAST,2,2,1,Radiology,"CT Scan, OR Services"
DIPHENHYDRAMINE 50MG/1ML INJ,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
METHYLPREDNIS (SOLU-MEDRO; SOLU-MEDROL 125 MG/2ML VIAL,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
NORMAL SALINE 10ML FLU,2,2,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Pharmacy"
IV NS 100ML,2,2,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Pharmacy"
PROPOFOL 10 MG/ML EMULSI,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
GLUCOSE WHOLE BLOOD,2,2,1,Laboratory,"Laboratory, Patient Conv Items"
HB RESPIRATORY ASSESSMENT PER 1/2 HR,2,2,1,Respiratory Therapy,"Other Imaging Services, Pulmonary Function"
WARFARIN 7.5 MG TABS,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
NICOTINE PATCH 21MG,2,2,1,Plan Benefit,"Drugs Requiring Specific Identification, Pharmacy"
CROSS MATCH RESULT,2,2,1,Laboratory,"Implant/Supply, Laboratory"
LORAZEPAM 2 MG/ML SOLN,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
LISINOPRIL 5 MG TAB,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
SODIUM CHLORIDE,2,2,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Pharmacy"
ACETAMINOPHEN 80 MG SUPP 6 EACH BOX,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
NICOTINE 21 MG/24 HR PATCH,2,2,1,Plan Benefit,"Drugs Requiring Specific Identification, Pharmacy"
LACTULOSE 10 GRAM/15 ML SO,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
HB INPT CVC MONITORING,2,2,1,Monitoring,"Nursing, Treatment/Observation Room"
VITAMIN B-12,2,2,1,Pharmacy,"Laboratory, Pharmacy"
SODIUM CHLORIDE 0.9% 250ML IV,2,2,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Pharmacy"
PRESSURE MONITORING SET,2,2,1,Supply,"Cardiology, Implant/Supply"
VANCOMYCIN 1 GRAM/200 ML PGBK,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
PALIVIZUMAB 100 MG/ML SOLN,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
HC BL COUNT CBC AUTO W/AUTO DIFF,2,2,1,Laboratory,"Laboratory, PT/OT/Speech"
SENNA-DOCUSATE 8.6-50 MG TABS,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
FENTANYL 50 MCG/ML SOLN 50,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
SILDENAFIL 20 MG TABS,2,2,1,Plan Benefit,"Drugs Requiring Specific Identification, Pharmacy"
MIDAZOLAM 5 MG/ML SOLN,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
IV 0.9% NACL 500 ML,2,2,1,Diluent / Flush / Irrigant,"Drugs Requiring Specific Identification, Pharmacy"
LIDOCAINE VISCOUS 2% SOLN,2,2,1,Pharmacy,"Drugs Requiring Specific Identification, Pharmacy"
HB AMINO ACID INFUSION 10 % IV SOLN,1,1,1,Laboratory,Pharmacy
SODIUM WB ASSAY,1,1,1,Laboratory,Laboratory
TAP CTN UMBILICAL U-11T,1,1,1,Supply,Implant/Supply
14151172 - OXYCODONE HCL 1MG/ML 5ML,1,1,1,Pharmacy,Pharmacy
HC EKG PROFEE,1,1,1,Professional Fee,Prof Fees
OPN HEART PERF ADDL 30 M CVP,1,1,1,OR / Anesthesia / Recovery Room,OR Services
ENFACARE LIPIL 26 CAL/OZ,1,1,1,Supply,Implant/Supply
HB WALL SUCTION UNITS,1,1,1,Supply,Implant/Supply
IV PUSH,1,1,1,Diluent / Flush / Irrigant,IV Therapy
HB CEFEPIME HCL 1 GM IJ SOLR,1,1,1,Pharmacy,Pharmacy
INDIRECT COOMBS (AB SCREEN,1,1,1,Laboratory,Laboratory
DEXTROSE 5% AND 0.9% NACL WITH 20 MEQ/L POTASSI,1,1,1,Pharmacy,Pharmacy
64049000 - URINE CULTURE,1,1,1,Laboratory,Laboratory
VASOPRESSIN INJ 20U/ML,1,1,1,Pharmacy,Pharmacy
PASTE PROTECTIVE WITH ZINC OXIDE,1,1,1,Pharmacy,Pharmacy
HB MIRTAZAPINE 15MG TABLET,1,1,1,Pharmacy,Pharmacy
HB OT SELF CARE TRAIN EA 15 MIN,1,1,1,PT / OT / Speech Therapy,PT/OT/Speech
HB TRAP MUCUS 40ML SPEC KT,1,1,1,Supply,Implant/Supply
ROOM E737 2,1,1,1,Room and Board,Room & Board
HB DRESSING FOAM MEPILEX LITE PU,1,1,1,Supply,Implant/Supply
27907888 - ANGIO PACK,1,1,1,Supply,Implant/Supply
DRAPE HALF SHEET,1,1,1,Supply,Implant/Supply
HB BLADE SHVR TRICUT 40DD L11CM O,1,1,1,Supply,Implant/Supply
WHITE PETROLATUM GEL,1,1,1,Supply,Pharmacy
HERPES SIMPLEX TYPE 2 IGG,1,1,1,Laboratory,Laboratory
HB PHENYLEPHRINE/NEOSYNEPH 10% EYE,1,1,1,Pharmacy,Pharmacy
GLUCOSE  POC,1,1,1,Monitoring,Laboratory
GUIDEWIRE STIFF,1,1,1,Supply,Implant/Supply
HC OXYGEN O2 SET UPDEVICES,1,1,1,Supply,Implant/Supply
EXTENSIVE GAS DELIVERY DAILY,1,1,1,Plan Benefit,Respiratory Services
53277000 - ARTERIAL BLD DRAW FOR ANALYSIS,1,1,1,Nursing Services,Emergency Room
TRANSFERASE ASPARTATE AMINO,1,1,1,Laboratory,Laboratory
62206000 - CROSSMATCH-ANTIGLOBULIN,1,1,1,Laboratory,Laboratory
HEPARIN SODIUM (UNIT),1,1,1,Pharmacy,Pharmacy
SODIUM CHLORIDE 0.9% 0.9 % SOLP,1,1,1,Diluent / Flush / Irrigant,Pharmacy
PACU STAGE ONE FIRST 1/2 H,1,1,1,OR / Anesthesia / Recovery Room,Cast/Recovery/Labor Room
SUT ETHILON 2 0 FS 18,1,1,1,Supply,Implant/Supply
HB HYDROCORTISONE POWD,1,1,1,Pharmacy,Pharmacy
OR RM TIME LV 1 EA AD,1,1,1,OR / Anesthesia / Recovery Room,OR Services
ACETAMINOPHEN 80 MG SUPP 6 EACH BLIST PACK,1,1,1,Pharmacy,Pharmacy
PROCAINAMIDE,1,1,1,Pharmacy,Laboratory
HB CATHETER UMBIL ARGL PU 12 IN 3.,1,1,1,Supply,Implant/Supply
HB DRSG GAUZE QUIKCLOT 3IN X 4 YD,1,1,1,Supply,Implant/Supply
NIACIN 100 MG TAB,1,1,1,Pharmacy,Pharmacy
AMMONIA BLOOD,1,1,1,Laboratory,Laboratory
TRACH CARE KIT,1,1,1,Supply,Implant/Supply
IPPB INITTAL,1,1,1,Respiratory Therapy,Respiratory Services
HB ASPIRIN POWD,1,1,1,Pharmacy,Pharmacy
SPECIAL STAIN GROUP II (ST,1,1,1,Laboratory,Laboratory
HB GELATIN ABSORBABLE 100 EX MISC,1,1,1,Supply,Pharmacy
HB DEXTROSE 10% WATER,1,1,1,Pharmacy,Pharmacy
27670505 - US ABDOMEN LTD OTHER QUAD,1,1,1,Radiology,Other Imaging Services
SENNA 176 MG/5ML 5YRP,1,1,1,Pharmacy,Pharmacy
BOSENTAN 62.5 MG TABS 66215-101-06,1,1,1,Plan Benefit,Pharmacy
HC-LAB-POTASSIUM SER/PLASMA/B,1,1,1,Laboratory,Laboratory
CORTISOL TOTAL RANDOM,1,1,1,Laboratory,Laboratory
GLUCOS,1,1,1,Laboratory,Laboratory
AUGMENTIN 400MG/5ML ORAL SUSP,1,1,1,Pharmacy,Pharmacy
AQUAPHOR OINTMENT 14OZ 1 TUB E,1,1,1,Supply,Pharmacy
HC XR ABD SGL AP VIEW,1,1,1,Radiology,Radiology
HC CBC W AUTO DIFF ,1,1,1,Laboratory,Laboratory
KETAMINE 50 MG/ML SOLN 10 ML,1,1,1,Pharmacy,Pharmacy
HC TRANSFERASE; ASPARTATE AMINO (AST) (S,1,1,1,Laboratory,Laboratory
HB AMMONIA,1,1,1,Laboratory,Laboratory
PATH STAINS GR I EACH,1,1,1,Laboratory,Laboratory
MECHANICAL VENT SUBSEQ DAY,1,1,1,Respiratory Therapy,Respiratory Services
SODIUM BLOOD,1,1,1,Laboratory,Laboratory
HB SODIUM CHLORIDE 4 MEQ/ML IV SOLN,1,1,1,Pharmacy,Pharmacy
77001062 - CHLORAPREP WITH TINT 10.5 ML,1,1,1,Pharmacy,Implant/Supply
HB CATH FOLEY TEMP SENSING LF 8PR 3ML,1,1,1,Supply,Implant/Supply
DSG FILM MPTL ANTIMICROBIAL 10X12CM,1,1,1,Supply,Implant/Supply
FLUID DIFFERENTIAL,1,1,1,Laboratory,Laboratory
IV 0.9% NACL 50 ML,1,1,1,Diluent / Flush / Irrigant,Pharmacy
HEALTHY SHOT (FC),1,1,1,Pharmacy,Pharmacy
SODIUM CHLORIDE 0.9% 0.9 % SOLP 50 ML BAG,1,1,1,Diluent / Flush / Irrigant,Pharmacy
SOD BICARBONATE INJ 4.2% 10ML SY,1,1,1,Pharmacy,Pharmacy
HB ASTRAMORPH-PF IMG/ML 10ML VL,1,1,1,Pharmacy,Pharmacy
KIT ORAL CARE YANKEUR SNGLSPIN,1,1,1,Supply,Implant/Supply
PHENYLEPHR/CYCLOPENT 2,1,1,1,Pharmacy,Pharmacy
12590042 - FUROSEMIDE TABLET 80MG,1,1,1,Pharmacy,Pharmacy
PHENOBARBITAL 16.2 MG TAB,1,1,1,Pharmacy,Pharmacy
WATER 1000ML AQUACS/12,1,1,1,Diluent / Flush / Irrigant,Implant/Supply
GLUCOSE BLD BY MONITOR DEVICE,1,1,1,Monitoring,Laboratory
SPECIMEN COLLECTION FEE,1,1,1,Nursing Services,Laboratory
SODIUM CHLORIDE 0.9 % INJECTION 3 ML,1,1,1,Supply,Pharmacy
13508002 - MAGNESIUM OXIDE TABLET 400MG,1,1,1,Pharmacy,Pharmacy
HB SODIUM CHLORIDE 7% INAHL SOL,1,1,1,Supply,Pharmacy
HEPATC FUNC PANEL,1,1,1,Laboratory,Laboratory
HB CATHETER SX TRACH CAR NEO PED,1,1,1,Supply,Implant/Supply
HB HEPATIC FUNCTION PANEL,1,1,1,Laboratory,Laboratory
VARICELLA-ZOSTER VIRUS (VZ,1,1,1,Pharmacy,Laboratory
HOMOGENIZATION OF TISSUE,1,1,1,Laboratory,Laboratory
HB TUBING 36KHZ DISP CUSA MANIFOL,1,1,1,Supply,Implant/Supply
WOUND-SIGNAL 4X4 THIN,1,1,1,Supply,Implant/Supply
AMMONIA PLASMA,1,1,1,Laboratory,Laboratory
89298000 - PATIENT EDUC EA 15 MINUTES,1,1,1,Education / Training,Implant/Supply
HB PAD POSITION NEO 12X20IN W/TU,1,1,1,Supply,Implant/Supply
WHO CUSTOM,1,1,1,Supply,Implant/Supply
STOCKINETTE IMPERV 12X48IN 89821 -CSC,1,1,1,Supply,Implant/Supply
THERA ACTIVITIES 15 MIN,1,1,1,PT / OT / Speech Therapy,PT/OT/Speech
HB SET AUTOTRNS FRESENIUS C.A. T.S,1,1,1,Supply,Implant/Supply
58858000 - VENTILATOR-ADULT SUBSEQ DAY,1,1,1,Respiratory Therapy,Respiratory Services
C-ARM USAGE-STAT,1,1,1,Radiology,Implant/Supply
PULSE OX SIN,1,1,1,Monitoring,Pulmonary Function
MAGNES SULF. 500 MG-1G/D5W 100M,1,1,1,Pharmacy,Drugs Requiring Specific Identification
POTASSIUM CHLORIDE 2MEQ/ML INJ (ADDITIVE),1,1,1,Pharmacy,Pharmacy
ROOM 3511 6,1,1,1,Room and Board,Intensive Care
HC HEMODIALYSIS INPATIENT,1,1,1,Dialysis,Preventive Care Services
86402002 - WALKING MOVING AROUND,1,1,1,PT / OT / Speech Therapy,PT/OT/Speech
G6PD QUANT,1,1,1,Laboratory,Laboratory
HB ACTH,1,1,1,Laboratory,Laboratory
COOMBS INDIRECT,1,1,1,Laboratory,Laboratory
HB UNFRACTIONATED HEPARIN ASSAY,1,1,1,Laboratory,Laboratory
GOWN DISP SURG X-LG 9041_E,1,1,1,Supply,Implant/Supply
HB KIT FOLEY CATH,1,1,1,Supply,Implant/Supply
Comp Metabolic Panel,1,1,1,Laboratory,Laboratory
HEPARIN NEUTRALIZATION,1,1,1,Laboratory,Laboratory
HEMOSTAT STRAIGHT_W,1,1,1,Supply,Implant/Supply
HB PROTIME,1,1,1,Laboratory,Laboratory
DRAPE C ARM,1,1,1,Supply,Implant/Supply
ONDANSETRON INJ 2MG/ML 2ML,1,1,1,Pharmacy,Drugs Requiring Specific Identification
SODIUM BICARBONATE 4.2% 0.,1,1,1,Pharmacy,Pharmacy
CRYOPRECIPITATE EA (PPCRY),1,1,1,Blood Products,Blood
GLUTAMYLTRASE GAMMA,1,1,1,Laboratory,Laboratory
SULFAMETHOXAZOLE-TRIMETHOPRIM 80-16 MG/ML SOLN,1,1,1,Pharmacy,Pharmacy
HB SODLUM ACETATE 2MEQ/ML 20MLAME,1,1,1,Pharmacy,Pharmacy
HCHG BASIC METABOLIC PANEL HCHG BASIC METABOLIC PANEL,1,1,1,Laboratory,Laboratory
TRIAMCINOLONE 0.1% CREA 15,1,1,1,Pharmacy,Pharmacy
HB ADDERALL TAB 5MG,1,1,1,Pharmacy,Pharmacy
TITANIUM MATRIX NEURO SCREWS SELF DRILLING,1,1,1,Implant,Implant/Supply
SODIUM CHLORIDE 3% 500ML,1,1,1,Diluent / Flush / Irrigant,Pharmacy
NS FLUSH 0.9% SOLN,1,1,1,Diluent / Flush / Irrigant,Pharmacy
HB HYDROXYZINE HCL 25MG TAB UD U,1,1,1,Pharmacy,Pharmacy
CR ABDOMEN SINGLE AP VIEW,1,1,1,Radiology,Radiology
CANNULA OXYGEN,1,1,1,Supply,Implant/Supply
VENIPUNCTURE ROUTINE,1,1,1,Nursing Services,Laboratory
GUIDNCE ABSCSS DRAIN/CATH,1,1,1,Radiology,Radiology
TREPROSTINIL 1 MG/ML SOLN,1,1,1,Plan Benefit,Drugs Requiring Specific Identification
HC PUMP VAC WOUND CARE,1,1,1,Capital Equipment,Implant/Supply
CALCIUM CHLOR 10% 1GM 10ML,1,1,1,Pharmacy,Pharmacy
52109000 - RB CDU-GROUND STEP DOWN ICU,1,1,1,Room and Board,Intensive Care
RED BLOOD CELLS LEUKO RED-CKBC,1,1,1,Blood Products,Blood
SCREW 5.5 X 30,1,1,1,Implant,Implant/Supply
INR (PROTHROMBIN TIME) ,1,1,1,Laboratory,Laboratory
IMMUNOASSAY QUANT NOS NONAB,1,1,1,Laboratory,Laboratory
SODIUM I,1,1,1,Monitoring,Laboratory
KIT CATH FOLEY PLUS U/M 16FR,1,1,1,Supply,Implant/Supply
CANISTER SUCTION LINER-956,1,1,1,Supply,Implant/Supply
ETOMIDATE INJ 2MG/ML 20ML,1,1,1,Pharmacy,Pharmacy
DISTILLED WATER PO LIQD,1,1,1,Diluent / Flush / Irrigant,Pharmacy
SODIUM CHLORIDE .9% INJ 1,1,1,1,Diluent / Flush / Irrigant,Pharmacy
H IAAD EIA LAV-1 AG W/LAV-,1,1,1,Laboratory,Laboratory
THYROID STIM HORMONE (TSH),1,1,1,Laboratory,Laboratory
HB VORICONAZOLE LEVEL,1,1,1,Laboratory,Laboratory
MYCOPHENOLATE SOD 360 MG T,1,1,1,Pharmacy,Pharmacy
TX NEBULIZER SUPPLY,1,1,1,Supply,Implant/Supply
LACTIC ACID-WB,1,1,1,Laboratory,Laboratory
STAPLER SKIN 35 WIDE,1,1,1,Supply,Implant/Supply
HB BACLOFEN 5MG/ML SUSP,1,1,1,Pharmacy,Pharmacy
HB DRSG SPNGE QUIKCLOT HEMOSTATIC 2X2,1,1,1,Supply,Implant/Supply
12895032 - HYDROXYZINE PAMOATE 25MG ORAL,1,1,1,Pharmacy,Pharmacy
HB CATHETER HEMODIA MHRKR L12CM 0,1,1,1,Supply,Implant/Supply
HB KIT PICC REMOVAL,1,1,1,Supply,Implant/Supply
GLUCOSE BLOOD ATP,1,1,1,Laboratory,Laboratory
DNIU NEO LEVEL 3 MEDIUM,1,1,1,Room and Board,Room & Board
HB KIT OATH 0D5. 0FR URIN CATH CLS,1,1,1,Supply,Implant/Supply
ADAPTER 22MM ID X 6MM,1,1,1,Supply,Implant/Supply
HC CCU ROOM - STEP DOWN,1,1,1,Room and Board,Coronary Care
HB NORMAL SALINE 10ML VL (NACL0,1,1,1,Diluent / Flush / Irrigant,Pharmacy
SODIUM CHLORIDE .9% INJ 2,1,1,1,Diluent / Flush / Irrigant,Pharmacy
HB CATHETER URTHRL DOVER SIL OD12,1,1,1,Supply,Implant/Supply
CHORIONIC GANADOTROPIN ASSAY,1,1,1,Laboratory,Laboratory
HB EVOKED POTENTIAL MEDIAN NERVE,1,1,1,Procedure,Other Diagnostic Services
LORAZEPAM 3MG/0.5ML UD SUSP,1,1,1,Pharmacy,Pharmacy
C-BOOT/HEEL PROTECTOR,1,1,1,Supply,Implant/Supply
Ptt,1,1,1,Laboratory,Laboratory
HC PROTHROMBIN TIME (PT),1,1,1,Laboratory,Laboratory
HB VWF PROF MULTIMERS,1,1,1,Laboratory,Laboratory
LANSOPRAZOLE 15MG PO TBDP,1,1,1,Pharmacy,Pharmacy
Basic Metabolic Panel,1,1,1,Laboratory,Laboratory
HCHG STATE NEWB METAB SCR HANDLING HCHG STATE NEWB METAB SCR HANDLING,1,1,1,Laboratory,Laboratory
HB DEVICE ANTFG ELVIS SPNG KT ALC,1,1,1,Supply,Implant/Supply
DISP: 0.200 ML; 4 MG/ML; USED NDC QTY: 4.000 PCK OF 30.000 ML VIAL DEXAMETHASONE 1 MG INJECTION DEXAMETHASONE 4 MG/ML INJECTION SOLUTION,1,1,1,Pharmacy,Pharmacy
HB CATHETER PRFSN DLP PED L15IN 0,1,1,1,Supply,Implant/Supply
HC ECHO TTE W DPLR COMPLT W CONTRST,1,1,1,Cardiology,Cardiology
HB DRAPE POINTER SETTER MITAKA,1,1,1,Supply,Implant/Supply
BAG FEED KANGAROO 500ML,1,1,1,Supply,Implant/Supply
ANES ANALYS SODIUM,1,1,1,Laboratory,Laboratory
FLUID CELL COUNT,1,1,1,Laboratory,Laboratory
HB ZOLINZA 100 MG CAPSULE,1,1,1,Pharmacy,Pharmacy
HB DRAPE SURG POLY CTTN L77INXW53,1,1,1,Supply,Implant/Supply
HB NACARDIPINE 2.5MG CAPSULE,1,1,1,Pharmacy,Pharmacy
59250015 - GEN ANES OR ADD 15MIN,1,1,1,OR / Anesthesia / Recovery Room,Anesthesia
CATHETER CV PLAS OD9FR PERI IN,1,1,1,Supply,Implant/Supply
ANAERO CULT ISO & PRESUMPT ID,1,1,1,Laboratory,Laboratory
HB ACTH STIM PANEL,1,1,1,Laboratory,Laboratory
SHEET THREEQUARTER 57X77 CA,1,1,1,Supply,Implant/Supply
DEVICE TORQUE,1,1,1,Supply,Implant/Supply
CYASTATIN C X00322,1,1,1,Laboratory,Laboratory
CASPOFUNGIN 5 MG INJ,1,1,1,Pharmacy,Pharmacy
ST IV ADM,1,1,1,Supply,Implant/Supply
HB TRIAMCINOLONE 0.5% CR 15GM,1,1,1,Pharmacy,Pharmacy
RETRACT-O-TAPE # 1041,1,1,1,Supply,Implant/Supply
DRILLBIT SYN 3.5X110 310.35,1,1,1,Supply,Implant/Supply
HC VITAMIN D 25 HYDROXY,1,1,1,Pharmacy,Laboratory
HB MRI THORACIC SPINE WO CONTRAST,1,1,1,Radiology,MRI
PATCH VASCULAR 50X75 IMPRA,1,1,1,Implant,Implant/Supply
CANISTER SUCT 1200CC GUARD,1,1,1,Supply,Implant/Supply
TUBING IV,1,1,1,Supply,Implant/Supply
VENOUS CANNULA,1,1,1,Supply,Implant/Supply
HB SPINE LUMBOSACRA 2 OR 3,1,1,1,Radiology,Radiology
HB SYSTEM EVD BECKER EXTERNAL NE,1,1,1,Supply,Implant/Supply
NICARDIPINE DRIP KIT,1,1,1,Pharmacy,Pharmacy
HB PACK HEAD AND NECK,1,1,1,Supply,Implant/Supply
HB CANN VEN MALLE SNGL STAGE 34FR,1,1,1,Supply,Implant/Supply
77058113 - SLEEVE COMPRESSION REGULAR,1,1,1,Supply,Implant/Supply
O2,1,1,1,Respiratory Therapy,Implant/Supply
13729022 - METOLAZONE TABLET 5MG,1,1,1,Pharmacy,Pharmacy
HB DRSG SPONGE QUIKCLOT 4X4,1,1,1,Supply,Implant/Supply
GRAM STAIN ONLY,1,1,1,Laboratory,Laboratory
TRANSPORT TEAM CRITICAL CA,1,1,1,Other,Other Therapeutic Services
PULSE OXIMETRY SENSOR,1,1,1,Supply,Implant/Supply
HB SUTURE ABSRB VCL 4.0 L18IN BRD,1,1,1,Supply,Implant/Supply
MR DOTAREM CONTRAST,1,1,1,Pharmacy,Drugs Requiring Specific Identification
HCHG FACTOR THROMBATE 100,1,1,1,Plan Benefit,Pharmacy
HB IMMUNOGLOBULIN PROFILE/IGG,1,1,1,Laboratory,Laboratory
TISSUE EXAM PATHOLOGIST LEVEL5,1,1,1,Laboratory,Laboratory
DOXYCYCLINE HYCLATE 100MG VL,1,1,1,Pharmacy,Pharmacy
AST ASPARTATE AMINOTRANSFERASE,1,1,1,Laboratory,Laboratory
ADAPTER PRN LIFESHIELD,1,1,1,Supply,Implant/Supply
HB CANNULA ARTERIAL 10 FR CARMEDA,1,1,1,Supply,Implant/Supply
VENIPUNCTURE ROUTINE SPEC COLL,1,1,1,Nursing Services,Laboratory
FERROUS SULFATE 75 (15 FE) WCH00-0007-57,1,1,1,Pharmacy,Pharmacy
HEMATOCRIT ,1,1,1,Laboratory,Laboratory
HB INTRODUCER SHTH PED 4FR 10CM 4,1,1,1,Supply,Implant/Supply
DISP: 1.000 ML; 2 MG/ML; USED NDC QTY: 1.000 PCK OF 1.000 ML VIAL LORAZEPAM 2 MG INJECTION LORAZEPAM 2 MG/ML INJECTION SOLUTION,1,1,1,Pharmacy,Pharmacy
ROOM 532 D,1,1,1,Room and Board,Room & Board
SCREW SAS 6.5X35,1,1,1,Implant,Implant/Supply
STAPLER SKIN MULTIFIRE 35R,1,1,1,Supply,Implant/Supply
GLUCOSE BEDSIDE MONIT,1,1,1,Monitoring,Laboratory
LEAD PACE NOVUS CAPSUREFIX 5076 52CM,1,1,1,Implant,Implant/Supply
HC POWERLINE CV CATH 5FR SL,1,1,1,Supply,Implant/Supply
KIT PICC INSERTION,1,1,1,Procedure,Implant/Supply
LORAZEPAM 1:4 0.5 MG/ML SOLN 4 ML VIAL,1,1,1,Pharmacy,Pharmacy
AIRWAY LMA UNIQUE STD 3,1,1,1,Supply,Implant/Supply
10542000 - SOD CHLORIDE 0.9%/250ML 100ML,1,1,1,Diluent / flush / Irrigant,Pharmacy
12820632 - HEPARIN/1000UN (5000/ML)1ML VL,1,1,1,Diluent / flush / Irrigant,Pharmacy
HCHG DRSNG AQUACEL AG HYDROFIBR 4X5,1,1,1,Supply,Implant/Supply
METHADONE 1MG/ML ORAL SYR U/D,1,1,1,Pharmacy,Pharmacy
HEPARIN FLUSH 100UNITS/ML INJ,1,1,1,Diluent / Flush / Irrigant,Pharmacy
HB CT HEAD W CONTRAST,1,1,1,Radiology,CT Scan
ANTI HEPATITIS C,1,1,1,Laboratory,Laboratory
D SCAN ADDOM VASC FLOW COMPLETE,1,1,1,Radiology,Other Diagnostic Services
GLYCOPYRROLATE 0.4MG/2ML BD SY,1,1,1,Pharmacy,Pharmacy
APPLIER CLIP MULTI 20 MD,1,1,1,Supply,Implant/Supply
ROOM M377 N,1,1,1,Room and Board,Intensive Care
HB DRESSING FOAM MPLX BORDR PUW6I,1,1,1,Supply,Implant/Supply
HB SELENIUM 10 MCG/ML DILUTION IN SW FOR TPN,1,1,1,Pharmacy,Pharmacy
NS (0.9% NACL) IV SOLUTION,1,1,1,Diluent / Flush / Irrigant,Pharmacy
DRESSING HDRCLD 125X9C,1,1,1,Supply,Implant/Supply
HCHG R&B NICU HCHG R&B NICU,1,1,1,Room and Board,Room & Board
63034001 - CREATININE URINE,1,1,1,Laboratory,Laboratory
ROOM M367 N,1,1,1,Room and Board,Intensive Care
Magnesium,1,1,1,Laboratory,Laboratory
12671032 - GABAPENTIN CAPSULE 400MG,1,1,1,Pharmacy,Pharmacy
HB DRESSING FOAM MPLX PU W8INXL8I,1,1,1,Supply,Implant/Supply
PEDS PT ATTEMPT (STATISTICAL),1,1,1,Room and Board,Implant/Supply
BISPECTRAL (BIS) SENSOR,1,1,1,Supply,Implant/Supply
TRY DRS SUBCLV,1,1,1,Supply,Implant/Supply
HB IODIXANOL 320 MG/ML IV SOLN,1,1,1,Pharmacy,Pharmacy
77058451 - PAD GRND 9FR ADLT DISPERSIVE,1,1,1,Supply,Implant/Supply
HERPES TYPING,1,1,1,Laboratory,Laboratory
LEVOCARNITINE 1GM/5ML INJ,1,1,1,Pharmacy,Drugs Requiring Specific Identification
PAD SANITARY ST 1 S,1,1,1,Supply,Implant/Supply
HC BAIRHUGGER SLEEVE,1,1,1,Supply,Implant/Supply
HC INHALATION TX HHN MDI IPPB 1 VISIT PER DAY,1,1,1,Respiratory Therapy,Respiratory Services
HEPARIN FLUSH 5,1,1,1,Diluent / Flush / Irrigant,Pharmacy
EXTRINSIC TEG (EXTEM),1,1,1,Radiology,Laboratory
FACTOR VIII LEVEL,1,1,1,Laboratory,Laboratory
HB GOWN SURG 2XL NONREIN STRL REU,1,1,1,Supply,Implant/Supply
HB DSG FILM MPTL ANTIMICROBIAL 4X13CM,1,1,1,Supply,Implant/Supply
HB SUTURE ABSRB PDS II ENDLP 0 LI,1,1,1,Supply,Implant/Supply
HC CULT BLOOD ISOL W PRES ID,1,1,1,Laboratory,Laboratory
Bilirubin Total,1,1,1,Laboratory,Laboratory
THAWED PLASMA,1,1,1,Blood Products,Blood
KIT SUTRE REMOVL DSP,1,1,1,Supply,Implant/Supply
TRIAMCINOLONE 0.5% CREA 15 G TUBE,1,1,1,Pharmacy,Pharmacy
HEMOGLOBIN HGB,1,1,1,Laboratory,Laboratory
HC CRYOPRECIPITATE 5 UNITS,1,1,1,Blood Products,Blood
HB CHEST 2 VIEWS,1,1,1,Radiology,Radiology
HB CATH PICC SGL VASC 1.9FR 40CM,1,1,1,Supply,Implant/Supply
SODIUM CHLORIDE 0.9% PARENTERAL SOLUTION 150 ML,1,1,1,Diluent / Flush / Irrigant,Drugs Requiring Specific Identification
HB ALPHA FETOPROTEIN SERUM,1,1,1,Laboratory,Laboratory
INSULIN-LIKE GROWTH FACTOR,1,1,1,Laboratory,Laboratory
HB MASK O2 OXYMASK ADULT,1,1,1,Supply,Implant/Supply
HC LEVEL-2 ROOM & BOARD (SEMI-PRIVATE 2 BEDS),1,1,1,Room and Board,Room & Board
O2 THERAPY-EA 8 HRS,1,1,1,Respiratory Therapy,Implant/Supply
SPINAL PUNCTURE LUMBAR DIAG,1,1,1,Procedure,OR Services
