Original Description,Normalized Description,Charge Class,Flag,Feature 1,Feature 2,Feature 3,Feature 4
PULSE OXIMETRY SINGLE,pulse oximetry single,Monitoring,RETROSPECTIVE,single,oximetry,pulse,
PULSE OXIMETRY SINGLE DETERMINATE,pulse oximetry single determination,Monitoring,RETROSPECTIVE,single,oximetry,determination,pulse
PULSE OXIMETRY SPOT CHEC,pulse oximetry spot check,Monitoring,RETROSPECTIVE,oximetry,spot,check,pulse
PULSE OXIMETRY-CONTINUOUS,pulse oximetry continuous,Monitoring,RETROSPECTIVE,continuous,oximetry,pulse,
PULSE OXIMETRY-PER HOUR,pulse oximetry per hour,Monitoring,RETROSPECTIVE,oximetry,per,pulse,hour
PULSE OXIMETRY-SINGLE,pulse oximetry single,Monitoring,RETROSPECTIVE,single,oximetry,pulse,
PULSE OXIMETRY/DAILY,pulse oximetry/daily,Monitoring,RETROSPECTIVE,oximetry,daily,pulse,
PULSE OXIMETRY/DAY,pulse oximetry/day,Monitoring,RETROSPECTIVE,oximetry,day,pulse,
RCH LAB-GLUCOSE BGT-POCT,laboratory glucose blood_glucose_test point_of_care_testing,Monitoring,RETROSPECTIVE,laboratory,POCT,BGT,glucose
TC HEMATOCRIT (EPOC),hematocrit enterprise_point_of_care,Monitoring,RETROSPECTIVE,hematocrit,epoc,,
WB GLUCOSE BY MONITOR DEVICE,whole_blood glucose by monitor device,Monitoring,RETROSPECTIVE,device,bay,glucose,monitor
WHOLE BLOOD GLUCOSE POC,whole blood glucose point_of_care,Monitoring,RETROSPECTIVE,POC,whole,blood,glucose
11034272 - PROBIOTIC ORAL SUSP PER 1ML,probiotic oral suspension per 1_ml,Pharmacy,RETROSPECTIVE,suspension,1_ml,oral,per
20800207-PARENTERAL AMINO ACID 10% NO.7 10 % SOLP 1 000 ML BAG,parenteral amino acid 10% no.7 10% solution 1 000_ml bag,Pharmacy,RETROSPECTIVE,parenteral,000_ml,solution,bag
20800280-CALCIUM GLUCONATE 100 MG/ML (10%) SOLN 10 ML VIAL,calcium gluconate 100_mg/ml 10% solution 10_ml vial,Pharmacy,RETROSPECTIVE,vial,calcium,10_ml,solution
ALBUMIN (HUMAN)  25%  50ML,albumin human 25% 50_ml,Pharmacy,RETROSPECTIVE,50_ml,albumin,human,25%
ALBUMIN (HUMAN) 25% 50ML,albumin human 25% 50_ml,Pharmacy,RETROSPECTIVE,50_ml,albumin,human,25%
ALBUMIN HUMAN 25% 100ML INJE,albumin human 25% 100_ml injection,Pharmacy,RETROSPECTIVE,100_ml,injection,albumin,human
ALBUTEROL 2.5 MG/0.5 ML,albuterol 2.5_mg/0.5_ml,Pharmacy,RETROSPECTIVE,albuterol,2.5mg/0.5ml,,
ALBUTEROL INH (2.5 MG/3ML),albuterol inhaled 2.5_mg/3_ml,Pharmacy,RETROSPECTIVE,albuterol,inhalation,2.5mg/3_ml,
ALBUTEROL INH U.D. PER MG .....,albuterol inhaled u daily per milligram,Pharmacy,RETROSPECTIVE,albuterol,inhalation,per,milligram
ALBUTEROL SULFATE UD; ALBUTEROL SULF 2.5 MG/0.5 ML VIAL,albuterol sulfate ud albuterol sulfate 2.5_mg/0.5_ml vial,Pharmacy,RETROSPECTIVE,vial,albuterol,sulf,udi
AMIODARONE 200MG TA,amiodarone 200_mg ta,Pharmacy,RETROSPECTIVE,amiodarone,200_mg,ta,
AMPICILLIN 250MG/2.5ML NSY DI,ampicillin 250_mg/2.5_ml nursery di,Pharmacy,RETROSPECTIVE,nsy,di,ampicillin,250_mg/2.5ml
GLUCOSE BLD QN,glucose blood quantitative,Laboratory,RETROSPECTIVE,quantitative,blood,glucose,
ASPIRIN 325MG; ASPIRIN 325 MG TABLET .EC,aspirin 325_mg aspirin 325_mg tablet each,Pharmacy,RETROSPECTIVE,325_mg,tablet,aspirin,
ASPIRIN 81 MG CHEW,aspirin 81_mg chew,Pharmacy,RETROSPECTIVE,chew,81_mg,aspirin,
ASPIRIN PEDIATRIC 81MG TAB,aspirin pediatric 81_mg tablet,Pharmacy,RETROSPECTIVE,81_mg,tablet,pediatric,aspirin
CALCIUM GLUCONATE PER 10 ML,calcium gluconate per 10_ml,Pharmacy,RETROSPECTIVE,calcium,10_ml,per,gluconate
ATOVAQUONE 750 MG/5 ML SUS,atovaquone 750_mg/5_ml sustainability,Pharmacy,RETROSPECTIVE,sustainability,750_mg/5_ml,atovaquone,
B COMPLEX-VITAMIN C-FOLI,b complex vitamin cap folic,Pharmacy,RETROSPECTIVE,complex,vitamin,,
BACLOFEN 10MG TABLET; BACLOFEN 10 MG TAB,baclofen 10_mg tablet baclofen 10_mg tablet,Pharmacy,RETROSPECTIVE,baclofen,tablet,10_mg,
BUDESONIDE 0.25 MG/2ML INH,budesonide 0.25_mg/2_ml inhaled,Pharmacy,RETROSPECTIVE,budesonide,0.25mg/2_ml,inhalation,
BUMETANIDE 0.25 MG/ML VI,bumetanide 0.25_mg/ml vial,Pharmacy,RETROSPECTIVE,vial,bumetanide,0.25mg/ml,
CA GLUCON10MLIJ,calcium glucon10_mlij,Pharmacy,RETROSPECTIVE,calcium,glucon10_mlij,,
CAFFEINE CITRAT 5MG IN,caffeine citrate 5_mg injection,Pharmacy,RETROSPECTIVE,5_mg,caffeine,citrate,
CAFFEINE CITRATE 10 MG/ML S,caffeine citrate 10_mg/ml sigma,Pharmacy,RETROSPECTIVE,caffeine,10_mg/ml,citrate,
CAFFEINE CITRATE 60 MG/3 ML (20 MG/ML) SOLN 3 ML VIAL,caffeine citrate 60_mg/3_ml 20_mg/ml solution 3_ml vial,Pharmacy,RETROSPECTIVE,vial,solution,caffeine,3_ml
CAFFEINE CITRATED 60 MG/3 ML (20 MG/ML) ORAL SOLUTION,caffeine citrated 60_mg/3_ml 20_mg/ml oral solution,Pharmacy,RETROSPECTIVE,citrated,oral,caffeine,solution
CALCIUM CARBONATE 500 MG C,calcium carbonate 500_mg cap,Pharmacy,RETROSPECTIVE,calcium,c,carbonate,500_mg
CARVEDILOL 3.125 MG TAB,carvedilol 3.125_mg tablet,Pharmacy,RETROSPECTIVE,tablet,3.125_mg,carvedilol,
CEFOTAXIME IV PPK 50MG/ML 6ML,cefotaxime intravenous ppk 50_mg/ml 6_ml,Pharmacy,RETROSPECTIVE,ppk,cefotaxime,intravenous,6_ml
CEFTRIAXONE 1 G SOLR,ceftriaxone 1 gram solution,Pharmacy,RETROSPECTIVE,ceftriaxone,solution,g,
CEFTRIAXONE 2 GRAM/50 ML PGBK,ceftriaxone 2 gram/50_ml pgbk,Pharmacy,RETROSPECTIVE,ceftriaxone,pgbk,gram/50_ml,
CEFEPIME PEDIATRIC 100 MG/ML SOLR,cefepime pediatric 100_mg/ml solution,Pharmacy,RETROSPECTIVE,100_mg/ml,cefepime,solution,pediatric
CHLOROTHIAZIDE 250 MG/5 ML SUSP[9525],chlorothiazide 250_mg/5_ml suspension 9525,Pharmacy,RETROSPECTIVE,chlorothiazide,250_mg/5_ml,suspension,
CHLOROTHIAZIDE 25MG/ML (1ML) PO,chlorothiazide 25_mg/ml 1_ml by_mouth,Pharmacy,RETROSPECTIVE,chlorothiazide,1_ml,po,25_mg/ml
CHROMIUM CHLORIDE 10ML 4MCG/ML,chromium chloride 10_ml 4_mcg/ml,Pharmacy,RETROSPECTIVE,10_ml,chloride,chromium,4_mcg/ml
CIDOFOVIR INJ 75MG/1ML 5ML,cidofovir injection 75_mg/1_ml 5_ml,Pharmacy,RETROSPECTIVE,cidofovir,injection,5_ml,75_mg/1_ml
CIPROFLOXACIN 400MG PREMIX,ciprofloxacin 400_mg premix,Pharmacy,RETROSPECTIVE,premix,ciprofloxacin,400_mg,
CISATRACUR 200MG/20ML INJ,cisatracurium 200_mg/20_ml injection,Pharmacy,RETROSPECTIVE,injection,200_mg/20_ml,cisatracurium,
COLCHICINE 0.6 MG TABS,colchicine 0.6_mg tablets,Pharmacy,RETROSPECTIVE,tablets,colchicine,0.6_mg,
DAPTOMYCIN INJ 1MG,daptomycin injection 1_mg,Pharmacy,RETROSPECTIVE,1_mg,injection,daptomycin,
DEFIBROTIDE INJ MT2,defibrotide injection mt2,Pharmacy,RETROSPECTIVE,mt2,injection,defibrotide,
DEXAMETHASONE 0.5MG/5ML 0.5ML,dexamethasone 0.5_mg/5_ml 0.5_ml,Pharmacy,RETROSPECTIVE,0.5_ml,0.5mg/5_ml,dexamethasone,
DEXMEDETOMIDINE 100MCG/ML IN,dexmedetomidine 100_mcg/ml injection,Pharmacy,RETROSPECTIVE,dexmedetomidine,100_mcg/ml,,
DEXMEDETOMIDINE 200 MCG/2,dexmedetomidine 200 microgram/2,Pharmacy,RETROSPECTIVE,dexmedetomidine,microgram/2,,
DEXMEDETOMIDINE 200 MCG/2ML 0409-1638-02,dexmedetomidine 200 mcg/2_ml 409 1638 2,Pharmacy,RETROSPECTIVE,dexmedetomidine,,,
DEXTROMETHORPHAN-GUAIFENESIN 30-600 MG TB12,dextromethorphan guaifenesin 30 600_mg tb12,Pharmacy,RETROSPECTIVE,tb12,,,
DEXTROSE/TROPHAMINE BAG LINE,dextrose/trophamine bag line,Pharmacy,RETROSPECTIVE,bag,line,dextrose,trophamine
DIAZEPAM UP TO 5MG,diazepam up to 5_mg,Pharmacy,RETROSPECTIVE,diazepam,5_mg,,
DIPHENHYDRAMINE 50 MG CAP,diphenhydramine 50_mg capillary,Pharmacy,RETROSPECTIVE,diphenhydramine,50_mg,cap,
DISP: 1.000 EACH;250 MG; USED NDC QTY: 1.000 PCK OF 100.000 EACH BOTTLE CHLOROTHIAZIDE 250 MG TABLET,disposable 1 each 250_mg used ndc quantity 1 pack of 100 each bottle chlorothiazide 250_mg tablet,Pharmacy,RETROSPECTIVE,used,tablet,ndc,disposable
DOCUSATE SODIUM/SENNOSIDES TAB,docusate sodium/sennosides tablet,Pharmacy,RETROSPECTIVE,sodium,sennosides,tablet,docusate
DOCUSATE10ML LQ+,docusate 10_ml lq and,Pharmacy,RETROSPECTIVE,docusate10_ml,lq,,
DOXAPRAM 20MG/ML 20ML VL,doxapram 20_mg/ml 20_ml vial,Pharmacy,RETROSPECTIVE,20_ml,vl,doxapram,20_mg/ml
DRONABINOL 2.5 MG CAPS 68084-174-01,dronabinol 2.5_mg capsule 68084 174 1,Pharmacy,RETROSPECTIVE,caps,,,
EPOPROSTENOL 0.5 MG SOLR,epoprostenol 0.5_mg solution,Pharmacy,RETROSPECTIVE,0.5_mg,epoprostenol,solution,
ESOMEPRAZOLE,esomeprazole,Pharmacy,RETROSPECTIVE,esomeprazole,,,
FENTANYL 1000 MCG/100 ML SOLN,fentanyl 1000 mcg/100_ml solution,Pharmacy,RETROSPECTIVE,fentanyl,solution,mcg/100_ml,
FENTANYL CIT 10MCG/ML 1ML NSY,fentanyl citrate 10_mcg/ml 1_ml nursery,Pharmacy,RETROSPECTIVE,nsy,fentanyl,citrate,1_ml
FERROUS SULFATE 324MG EC TAB,ferrous sulfate 324_mg each tablet,Pharmacy,RETROSPECTIVE,ferrous,tablet,sulfate,
FERROUS SULFATE 75 (15 FE) WCH00-0007-57,ferrous sulfate 75 15 fe wch00 7 57,Pharmacy,RETROSPECTIVE,wch00,ferrous,sulfate,
FLUCONAZOLE TABLET 200MG,fluconazole tablet 200_mg,Pharmacy,RETROSPECTIVE,fluconazole,200_mg,tablet,
GLUCOMETER-POC,glucometer point_of_care,Monitoring,RETROSPECTIVE,POC,glucometer,,
FOSCARNET SOD PER 1000MG I,foscarnet sodium per 1000_mg i,Pharmacy,RETROSPECTIVE,1000_mg,per,foscarnet,sodium
FUROSEMIDE 10 MG/ML INJ 2ML,furosemide 10_mg/ml injection 2_ml,Pharmacy,RETROSPECTIVE,injection,furosemide,2_ml,10_mg/ml
FUROSEMIDE 10 MG/ML INJECTION SOLUTION,furosemide 10_mg/ml injection solution,Pharmacy,RETROSPECTIVE,injection,furosemide,solution,10_mg/ml
FUROSEMIDE 10 MG/ML SOLN 2 0409-6102-02,furosemide 10_mg/ml solution 2 409 6102 2,Pharmacy,RETROSPECTIVE,furosemide,solution,,
FUROSEMIDE INJ 40MG 4ML,furosemide injection 40_mg 4_ml,Pharmacy,RETROSPECTIVE,injection,furosemide,4_ml,40_mg
GANCICLOVIR SODIUM  500 MG,ganciclovir sodium 500_mg,Pharmacy,RETROSPECTIVE,ganciclovir,500_mg,sodium,
GANCICLOVIR SODIUM 500 MG,ganciclovir sodium 500_mg,Pharmacy,RETROSPECTIVE,ganciclovir,500_mg,sodium,
GRANISETRON HCL 100MCG INJ,granisetron hcl 100mcg injection,Pharmacy,RETROSPECTIVE,granisetron,100mcg,injection,hcl
HB AMLODIPINE 1MG/ML SUSP,amlodipine 1_mg/ml suspension,Pharmacy,RETROSPECTIVE,suspension,a_mlodipine,1_mg/ml,
HB COPPER 100 MCG/ML DILUTION IN SW FOR TPN,copper 100 mcg/ml dilution in sw for total_parenteral_nutrition,Pharmacy,RETROSPECTIVE,TPN,dilution,sw,
HB PROPRANOLOL HCL 20MG/5ML ORL,propranolol hcl 20_mg/5_ml oral,Pharmacy,RETROSPECTIVE,oral,propranolol,hcl,20_mg/5_ml
HB RIFAXIMIN 200MG TABLET,rifaximin 200_mg tablet,Pharmacy,RETROSPECTIVE,200_mg,tablet,rifaximin,
HB SELENIUM 10 MCG/ML DILUTION IN SW FOR TPN,selenium 10 mcg/ml dilution in sw for total_parenteral_nutrition,Pharmacy,RETROSPECTIVE,TPN,sw,dilution,selenium
HB VORICONAZOLE 200MG VIAL,voriconazole 200_mg vial,Pharmacy,RETROSPECTIVE,vial,200_mg,voriconazole,
HCTZ/SPIRONOLACTONE ORAL SUSP,hctz/spironolactone oral suspension,Pharmacy,RETROSPECTIVE,suspension,oral,hctz,spironolactone
HEPARIN 10000 UNTS/10ML V,heparin 10000_units/10_ml view,Pharmacy,RETROSPECTIVE,heparin,10000_units/10_ml,v,
HYDRALAZINE 20MG,hydralazine 20_mg,Pharmacy,RETROSPECTIVE,20_mg,hydralazine,,
HYDROMORPHONE INJ * UP TO 4MG,hydromorphone injection up to 4_mg,Pharmacy,RETROSPECTIVE,hydromorphone,injection,4_mg,
IBUPROFEN 20 MG/ML ORAL,ibuprofen 20_mg/ml oral,Pharmacy,RETROSPECTIVE,20_mg/ml,oral,ibuprofen,
INJECTION  LINEZOLID  200M,injection linezolid 200m,Pharmacy,RETROSPECTIVE,injection,linezolid,200m,
INJECTION  VORICONAZOLE  1,injection voriconazole 1,Pharmacy,RETROSPECTIVE,injection,voriconazole,,
INJECTION LINEZOLID 200M,injection linezolid 200m,Pharmacy,RETROSPECTIVE,injection,linezolid,200m,
INJECTION VORICONAZOLE 1,injection voriconazole 1,Pharmacy,RETROSPECTIVE,injection,voriconazole,,
INSULIN GLARGINE 100U/1ML SURG; INSULIN GLARGINE 100UNITS/ML SYRIN,insulin glargine 100_units/1_ml surgical insulin glargine 100_units/ml syringe,Pharmacy,RETROSPECTIVE,syringe,surgical,insulin,glargine
INSULIN HUMAN REG 5 UNITS,insulin human regular 5_units,Pharmacy,RETROSPECTIVE,5_units,regular,insulin,human
INSULIN LISPRO DOSE,insulin lispro dose,Pharmacy,RETROSPECTIVE,lispro,insulin,dose,
INSULIN LISPRO U-100; INSULIN LISPRO 100 UNITS/ML,insulin lispro_units 100 insulin lispro 100_units/ml,Pharmacy,RETROSPECTIVE,lispro,insulin,,
INSULIN REG PER 5 UNITS INJ,insulin regular per 5_units injection,Pharmacy,RETROSPECTIVE,5_units,regular,injection,insulin
INTRALIPID 20% 100,intralipid 20% 100,Pharmacy,RETROSPECTIVE,intralipid,20%,,
IPRATROPIUM 0.5 MG /2.5,ipratropium 0.5_mg/2.5,Pharmacy,RETROSPECTIVE,0.5_mg,ipratropium,2.5,
ISOTRETINOIN (,isotretinoin,Pharmacy,RETROSPECTIVE,isotretinoin,,,
KETAMINE 10 MG/ML INJECTION SOLUTION,ketamine 10_mg/ml injection solution,Pharmacy,RETROSPECTIVE,ketamine,injection,solution,10_mg/ml
LABETAL 20ML IJ,labetalol 20_ml injection,Pharmacy,RETROSPECTIVE,injection,labetal,20_ml,
LABETALOL 5 MG/ML INJ 4 ML,labetalol 5_mg/ml injection 4_ml,Pharmacy,RETROSPECTIVE,labetalol,injection,5_mg/ml,4_ml
LACTULOSE 15ML,lactulose 15_ml,Pharmacy,RETROSPECTIVE,15_ml,lactulose,,
LAMOTRIGINE 25 MG TAB,lamotrigine 25_mg tablet,Pharmacy,RETROSPECTIVE,lamotrigine,tablet,25_mg,
LANSOPRAZOLE SOLUTAB 30MG,lansoprazole solutab 30_mg,Pharmacy,RETROSPECTIVE,30_mg,lansoprazole,solutab,
LEVALBUTEROL 0.31 MG/3 ML SOLN U,levalbuterol 0.31_mg/3_ml solution up,Pharmacy,RETROSPECTIVE,units,0.31mg/3_ml,solution,levalbuterol
LEVEMIR 100UNIT/ML VIAL 10ML,levemir 100_units/ml vial 10_ml,Pharmacy,RETROSPECTIVE,vial,100_units/ml,10_ml,levemir
LEVETIRACETAM 100 MG/ML SOLUTION,levetiracetam 100_mg/ml solution,Pharmacy,RETROSPECTIVE,100_mg/ml,solution,levetiracetam,
LEVETIRACETAM 10MG/ML IN NS,levetiracetam 10_mg/ml in normal_saline,Pharmacy,RETROSPECTIVE,NS,10_mg/ml,levetiracetam,
LEVETIRACETAM 500MG TABLET,levetiracetam 500_mg tablet,Pharmacy,RETROSPECTIVE,tablet,500_mg,levetiracetam,
LEVETIRACETAM PER 10MG(100 MG),levetiracetam per 10_mg 100_mg,Pharmacy,RETROSPECTIVE,100_mg,10_mg,per,levetiracetam
LEVETIRACETAM SOLUTION 100 WCH00-0010-91,levetiracetam solution 100 wch00 10 91,Pharmacy,RETROSPECTIVE,wch00,solution,levetiracetam,
LISINOPRL20MGTB+,lisinoprl20_mgtb and,Pharmacy,RETROSPECTIVE,lisinoprl20_mgtb,,,
LORAZEPAM 2 MG/ML INJ,lorazepam 2_mg/ml injection,Pharmacy,RETROSPECTIVE,lorazepam,2_mg/ml,injection,
LORAZEPAM 2 MG/ML SOLN 10 ML VIAL[10467],lorazepam 2_mg/ml solution 10_ml vial 10467,Pharmacy,RETROSPECTIVE,vial,lorazepam,10_ml,solution
LORAZEPAM 2MG/ML ORAL SOL,lorazepam 2_mg/ml oral solution,Pharmacy,RETROSPECTIVE,oral,lorazepam,2_mg/ml,solution
LORAZEPAM O/S 2MG/ML UD,lorazepam oxygen/sigma 2_mg/ml ud,Pharmacy,RETROSPECTIVE,lorazepam,udi,2_mg/ml,oxygen
MAGNESIUM (MG/UMG/RUMG),magnesium milligram/umg/rumg,Pharmacy,RETROSPECTIVE,milligram,umg,rumg,magnesium
MAGNESIUM HYDROXIDE 400 MG/5 ML SUSP,magnesium hydroxide 400_mg/5_ml suspension,Pharmacy,RETROSPECTIVE,suspension,hydroxide,magnesium,400_mg/5_ml
MAGNESIUM SO4 INJ 50% 2ML,magnesium so4 injection 50% 2_ml,Pharmacy,RETROSPECTIVE,injection,magnesium,2_ml,so4
MAGNESIUM SULFATE 500 MG INJ C,magnesium sulfate 500_mg injection cap,Pharmacy,RETROSPECTIVE,injection,magnesium,500_mg,sulfate
MAGNESIUM SULFATE INJ*PER 500MG,magnesium sulfate injection per 500_mg,Pharmacy,RETROSPECTIVE,injection,500_mg,magnesium,per
MELATONIN 3 MG TBDL,melatonin 3_mg tbdl,Pharmacy,RETROSPECTIVE,melatonin,tbdl,3_mg,
MEROPE IJ 100MG,merope injection 100_mg,Pharmacy,RETROSPECTIVE,merope,injection,100_mg,
MEROPEN100MG,meropen100_mg,Pharmacy,RETROSPECTIVE,meropen100_mg,,,
MEROPENEM 1 G INJ,meropenem 1 gram injection,Pharmacy,RETROSPECTIVE,injection,g,meropenem,
MEROPENEM 500 MG INJ,meropenem 500_mg injection,Pharmacy,RETROSPECTIVE,injection,500_mg,meropenem,
METHADONE 10 MG/ML,methadone 10_mg/ml,Pharmacy,RETROSPECTIVE,10_mg/ml,methadone,,
METHADONE 10 MG/ML ORAL,methadone 10_mg/ml oral,Pharmacy,RETROSPECTIVE,oral,10_mg/ml,methadone,
METHADONE 10MG/10ML LIQUID UD CUP,methadone 10_mg/10_ml liquid ud cup,Pharmacy,RETROSPECTIVE,udi,liquid,methadone,cup
METOCLOPRAMIDE HCL 5 MG/ML IJ SOLN,metoclopramide hcl 5_mg/ml injection solution,Pharmacy,RETROSPECTIVE,injection,solution,hcl,
METRONIDAZOLE 500 MG PO TABS,metronidazole 500_mg by_mouth tablets,Pharmacy,RETROSPECTIVE,metronidazole,po,tablets,500_mg
METRONIDAZOLE/NSS PREMIX 500MG,metronidazole/normal_saline_sterile premix 500_mg,Pharmacy,RETROSPECTIVE,metronidazole,normal_saline_sterile,premix,500_mg
MGSO4/500MG (4% PREMIX),mgso_4/500_mg 4% premix,Pharmacy,RETROSPECTIVE,premix,mgso_4/500_mg,4%,
MICAFUNGIN 50 MG SOLR 1 EACH VIAL,micafungin 50_mg solution 1 each vial,Pharmacy,RETROSPECTIVE,vial,50_mg,solution,
MIDAZOLAM 5 MG/ML INJECTION SOLUTION,midazolam 5_mg/ml injection solution,Pharmacy,RETROSPECTIVE,injection,5_mg/ml,midazolam,solution
MIDAZOLAM 50MG VL,midazolam 50_mg vial,Pharmacy,RETROSPECTIVE,50_mg,vl,midazolam,
MIRALAX PWD. 17GM PKT.,miralax powder 17_gm packet,Pharmacy,RETROSPECTIVE,17gm,pwd.,miralax,pkt.
MORPHINE 15 MG/ML INJECTION SOLUTION,morphine 15_mg/ml injection solution,Pharmacy,RETROSPECTIVE,injection,morphine,solution,15_mg/ml
MORPHINE 30 MG/30 ML (1 MG/ML) INTRAVENOUS PCA SYRINGE,morphine 30_mg/30_ml 1_mg/ml intravenous patient_controlled_analgesia syringe,Pharmacy,RETROSPECTIVE,syringe,morphine,intravenous,PCA
MS CONTIN 100MG SR TABLET,med_surg continuous 100_mg slow_release tablet,Pharmacy,RETROSPECTIVE,sar,continuous,MS,100_mg
MULTIVITAMINS 1ML LIQ; MULTIVITAMINS (THERAGRAN) LIQUID,multivitamins 1_ml liquid multivitamins theragran liquid,Pharmacy,RETROSPECTIVE,theragran,1_ml,liquid,multivitamins
MYCOPHENOLATE 500 MG SOLR,mycophenolate 500_mg solution,Pharmacy,RETROSPECTIVE,mycophenolate,solution,500_mg,
MYCOPHENOLATE MOFETIL 33.3 MG/ML SOLR,mycophenolate mofetil 33.3_mg/ml solution,Pharmacy,RETROSPECTIVE,33.3mg/ml,mycophenolate,mofetil,solution
MYCOPHENOLATE O/S 250MG/1.25ML,mycophenolate oxygen/sigma 250_mg/1.25_ml,Pharmacy,RETROSPECTIVE,mycophenolate,oxygen,s,250_mg/1.25ml
NEUPOGEN 300 MCG INJECTION,neupogen 300 microgram injection,Pharmacy,RETROSPECTIVE,injection,microgram,neupogen,
NEUPOGEN 480 MCG INJECTION,neupogen 480 microgram injection,Pharmacy,RETROSPECTIVE,injection,microgram,neupogen,
NIACIN 100 MG TAB,niacin 100_mg tablet,Pharmacy,RETROSPECTIVE,niacin,100_mg,tablet,
OMEPRAZOLE 40 MG CPDR,omeprazole 40_mg cpdr,Pharmacy,RETROSPECTIVE,cpdr,40_mg,omeprazole,
OMEPRAZOLE SUSP 10ML 20 MG/10ML #SUS,omeprazole suspension 10_ml 20_mg/10_ml sustainability,Pharmacy,RETROSPECTIVE,suspension,10_ml,omeprazole,sustainability
ONDANSETRON 1 MG INJ,ondansetron 1_mg injection,Pharmacy,RETROSPECTIVE,1_mg,ondansetron,injection,
OXYCODONE - ACETAMINOPHEN,oxycodone acetaminophen,Pharmacy,RETROSPECTIVE,oxycodone,acetaminophen,,
OXYCODONE 5 MG/5ML OR SOL UD,oxycodone 5_mg/5_ml operation_room solution ud,Pharmacy,RETROSPECTIVE,udi,solution,oxycodone,OR
PANTO INJ,pantoprazole injection,Pharmacy,RETROSPECTIVE,injection,pantoprazole,,
PANTOPRAZOLE 2MG/ML COMPOUND; PANTOPRAZOLE (PROTONIX) 40 MG/20 ML,pantoprazole 2_mg/ml compound pantoprazole protonix 40_mg/20_ml,Pharmacy,RETROSPECTIVE,protonix,pantoprazole,,
PEDIATRIC MULTIVIT COMB NO.20 1 500-35-400 UNIT-MG-UNIT/ML DROP 1 ML ORAL SYRINGE,pediatric multivit comb no.20 1 500 35 400_units/ml drop 1_ml oral syringe,Pharmacy,RETROSPECTIVE,multivit,drop,1_ml,pediatric
PHENOBARBITAL PEDIATRIC 10 MG/ML SOLN,phenobarbital pediatric 10_mg/ml solution,Pharmacy,RETROSPECTIVE,10_mg/ml,pediatric,phenobarbital,solution
POTASSIUM CHLOR 20 MEQ PO,potassium chloride 20_meq by_mouth,Pharmacy,RETROSPECTIVE,meq,potassium,po,chloride
PRAVASTATIN TAB 20MG 20 MG TAB,pravastatin tablet 20_mg 20_mg tablet,Pharmacy,RETROSPECTIVE,20_mg,pravastatin,tablet,
PREDNISONE 5MG-20MG TAB,prednisone 5_mg 20_mg tablet,Pharmacy,RETROSPECTIVE,20_mg,5_mg,prednisone,tablet
PREDNISONE ORAL PER 5MG,prednisone oral per 5_mg,Pharmacy,RETROSPECTIVE,5_mg,oral,prednisone,per
PREGABALIN 50 MG CAP 100 EACH BLIST PACK,pregabalin 50_mg capillary 100 each blister pack,Pharmacy,RETROSPECTIVE,cap,pregabalin,biblist,pack
PREMASOL 10%  1L  BY ML,premasol 10% 1l by ml,Pharmacy,RETROSPECTIVE,ml,bay,premasol,1l
PREMASOL 10% 1L BY ML,premasol 10% 1l by ml,Pharmacy,RETROSPECTIVE,ml,bay,premasol,1l
PRIMAXIN INJ PER 250 MG,primaxin injection per 250_mg,Pharmacy,RETROSPECTIVE,injection,250_mg,per,primaxin
PROBENECID TAB 500MG,probenecid tablet 500_mg,Pharmacy,RETROSPECTIVE,500_mg,probenecid,tablet,
PROMETHAZINE 25 MG/1,promethazine 25_mg/1,Pharmacy,RETROSPECTIVE,promethazine,25_mg/1,,
PROPANOLOL 4MG SYR,propanolol 4_mg syringe,Pharmacy,RETROSPECTIVE,syringe,propanolol,4_mg,
PROPOFOL 10 MG/ML EMUL 100 ML VIAL,propofol 10_mg/ml emulsion 100_ml vial,Pharmacy,RETROSPECTIVE,vial,100_ml,propofol,
PROPOFOL 10 MG/ML EMULSI,propofol 10_mg/ml emulsion,Pharmacy,RETROSPECTIVE,emulsin,propofol,10_mg/ml,
PROPOFOL 1000 MG INJ,propofol 1000_mg injection,Pharmacy,RETROSPECTIVE,injection,propofol,1000_mg,
SELENIOUS ACID 40MCG/ML 10M INJ,selenious acid 40_mcg/ml 10m injection,Pharmacy,RETROSPECTIVE,selenious,injection,acid,
SENNA 8.8 MG/5 ML ORAL S,senna 8.8_mg/5_ml oral sigma,Pharmacy,RETROSPECTIVE,8.8mg/5_ml,senna,oral,
SENNOSIDES 8.6 MG PO TAB,sennosides 8.6_mg by_mouth tablet,Pharmacy,RETROSPECTIVE,po,8.6_mg,tablet,sennosides
SEVELAMER CARBONATE 800 MG,sevelamer carbonate 800_mg,Pharmacy,RETROSPECTIVE,800_mg,sevelamer,carbonate,
SINCALIDE (IV) INJ *PER 5MCG,sincalide intravenous injection per 5mcg,Pharmacy,RETROSPECTIVE,injection,intravenous,per,sincalide
SOD.BICARB INJ VI,sodium bicarb injection vial,Pharmacy,RETROSPECTIVE,vial,injection,sod.bicarb,
TAMSULOSIN SR CAP 0.4MG,tamsulosin slow_release capillary 0.4_mg,Pharmacy,RETROSPECTIVE,sar,cap,0.4_mg,tamsulosin
TRAZODONE 50 MG TAB,trazodone 50_mg tablet,Pharmacy,RETROSPECTIVE,50_mg,tablet,trazodone,
